,,,,,,,,Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Profit ($),Win Rate
0,AAPL,AAPL,122.93000030517578,123.08879852294922,81.0,0.1587982177734375,0.1291777575687125,0.0,0.09999999999998899,999999.0,6 days 06:29:00,2021-03-18,2021-03-25,1m,10219.714851379395,20.0,2.1971485137939455,219.71485137939453,65.0
1,MSFT,AAPL,123.0999984741211,123.0999984741211,81.0,0.0,0.0,,,,,,,,,,,,
2,QCOM,MSFT,236.44000244140625,236.44000244140625,42.0,0.0,0.0,,,,,,,,,,,,
3,AMD,QCOM,134.1300048828125,134.3000030517578,74.0,0.1699981689453125,0.12674134254586625,,,,,,,,,,,,
4,TTWO,AMD,80.87999725341797,80.87999725341797,123.0,0.0,0.0,,,,,,,,,,,,
5,INTC,AMD,80.88999938964844,80.98500061035156,123.0,0.095001220703125,0.1174449516874176,,,,,,,,,,,,
6,ABNB,TTWO,173.11000061035156,173.32000732421875,57.0,0.2100067138671875,0.12131402757018395,,,,,,,,,,,,
7,,AAPL,123.5999984741211,123.5999984741211,81.0,0.0,0.0,,,,,,,,,,,,
8,,QCOM,134.88999938964844,134.88999938964844,74.0,0.0,0.0,,,,,,,,,,,,
9,,QCOM,134.8800048828125,134.8800048828125,74.0,0.0,0.0,,,,,,,,,,,,
10,,MSFT,236.7899932861328,237.42999267578125,42.0,0.6399993896484375,0.27028143409551675,,,,,,,,,,,,
11,,MSFT,237.39999389648438,237.72959899902344,42.0,0.3296051025390625,0.13883955813528082,,,,,,,,,,,,
12,,MSFT,238.04510498046875,238.83999633789062,42.0,0.794891357421875,0.33392468099148465,,,,,,,,,,,,
13,,AAPL,122.58999633789062,122.75,82.0,0.160003662109375,0.13051934651206154,,,,,,,,,,,,
14,,AAPL,123.04000091552734,123.29000091552734,82.0,0.25,0.20318595427485128,,,,,,,,,,,,
15,,MSFT,238.16000366210938,238.61000061035156,42.0,0.4499969482421875,0.1889473216840485,,,,,,,,,,,,
16,,INTC,65.43000030517578,65.5,155.0,0.06999969482421875,0.10698409674114197,,,,,,,,,,,,
17,,QCOM,133.58990478515625,133.74000549316406,76.0,0.1501007080078125,0.11235931955278318,,,,,,,,,,,,
18,,ABNB,191.8300018310547,192.24000549316406,53.0,0.410003662109375,0.21373281457322124,,,,,,,,,,,,
19,,MSFT,240.89999389648438,240.89999389648438,42.0,0.0,0.0,,,,,,,,,,,,
20,,AAPL,124.0250015258789,,,,,,,,,,,,,,,,
