,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Profit ($),Win Rate
0,AAPL,30.8125,31.01250076,324,0.200000763,0.649089697,0,0.5,7,2191 days,3/24/2019,3/24/2021,1d,40429.51366,380,304.2951366,30429.51366,77.63157895
1,TTWO,25.20999908,25.40999985,399,0.200000763,0.793339033,,,,,,,,,,,,
2,TTWO,24.81999969,24.81999969,408,0,0,,,,,,,,,,,,
3,MSFT,40.29000092,41.61000061,251,1.319999695,3.276246376,,,,,,,,,,,,
4,MSFT,41.52999878,41.79999924,252,0.270000458,0.650133556,,,,,,,,,,,,
5,T,32.68999863,33.45000076,322,0.760002136,2.324876623,,,,,,,,,,,,
6,AAPL,32.41749954,32.62250137,332,0.205001831,0.632380146,,,,,,,,,,,,
7,CSCO,28.81999969,29.05999947,376,0.239999771,0.832754246,,,,,,,,,,,,
8,SNE,30.70000076,30.90999985,356,0.209999084,0.684036089,,,,,,,,,,,,
9,AAPL,32.17499924,31.85250092,342,-0.322498322,-1.002325809,,,,,,,,,,,,
10,INTC,32.97000122,33.36000061,330,0.38999939,1.182891645,,,,,,,,,,,,
11,AAPL,32.51750183,32.51750183,339,0,0,,,,,,,,,,,,
12,AAPL,32.84749985,33.15000153,336,0.302501678,0.920927559,,,,,,,,,,,,
13,TXN,54.56000137,55.95999908,204,1.399997711,2.565978145,,,,,,,,,,,,
14,AAPL,32.94499969,31.67499924,346,-1.270000458,-3.854911123,,,,,,,,,,,,
15,T,34.50999832,34.81999969,318,0.310001373,0.898294374,,,,,,,,,,,,
16,MSFT,46.43999863,46.79000092,238,0.350002289,0.753665588,,,,,,,,,,,,
17,AAPL,31.64999962,31.87249947,352,0.222499847,0.703001106,,,,,,,,,,,,
18,AAPL,31.75749969,32.21500015,354,0.457500458,1.440606037,,,,,,,,,,,,
19,AAPL,31.875,31.12000084,357,-0.754999161,-2.368624818,,,,,,,,,,,,
20,INTC,29.5,29.71999931,377,0.219999313,0.745760384,,,,,,,,,,,,
21,TTWO,28.26000023,28.5,397,0.239999771,0.849256083,,,,,,,,,,,,
22,AAPL,31.41500092,31.93499947,360,0.51999855,1.655255563,,,,,,,,,,,,
23,AAPL,32.12749863,32.74250031,358,0.615001678,1.914253225,,,,,,,,,,,,
24,PEP,97.30999756,96.18000031,120,-1.129997253,-1.16123449,,,,,,,,,,,,
25,MSFT,46.88000107,47.29000092,247,0.409999847,0.874573033,,,,,,,,,,,,
26,AAPL,30.32500076,28.13249969,385,-2.192501068,-7.230011584,,,,,,,,,,,,
