,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
160,MSFT,102, $215.23 ,"November 27, 2020 at 12:00:00 AM",MSFT,102, $214.10 ,"November 30, 2020 at 12:00:00 AM",-0.525014936,-115.2589417
161,QCOM,148, $147.17 ,"November 30, 2020 at 12:00:00 AM",QCOM,148, $158.55 ,"December 07, 2020 at 12:00:00 AM",7.732557603,1684.240723
162,AAPL,190, $123.75 ,"December 07, 2020 at 12:00:00 AM",AAPL,190, $120.50 ,"December 10, 2020 at 12:00:00 AM",-2.626262626,-617.5
163,AAPL,186, $123.24 ,"December 10, 2020 at 12:00:00 AM",AAPL,186, $122.43 ,"December 11, 2020 at 12:00:00 AM",-0.657252169,-150.6595459
164,AAPL,186, $122.41 ,"December 11, 2020 at 12:00:00 AM",AAPL,186, $128.90 ,"December 17, 2020 at 12:00:00 AM",5.301846287,1207.138184
165,AAPL,186, $128.70 ,"December 17, 2020 at 12:00:00 AM",AAPL,186, $125.02 ,"December 21, 2020 at 12:00:00 AM",-2.859363164,-684.4800568
166,AAPL,182, $128.23 ,"December 21, 2020 at 12:00:00 AM",AAPL,182, $138.05 ,"December 29, 2020 at 12:00:00 AM",7.658120293,1787.241333
167,AAPL,186, $134.87 ,"December 29, 2020 at 12:00:00 AM",AAPL,186, $134.08 ,"December 31, 2020 at 12:00:00 AM",-0.585744283,-146.9387512
168,AAPL,188, $132.69 ,"December 31, 2020 at 12:00:00 AM",AAPL,188, $128.89 ,"January 05, 2021 at 12:00:00 AM",-2.863820169,-714.4005737
169,AAPL,185, $131.01 ,"January 05, 2021 at 12:00:00 AM",AAPL,185, $127.72 ,"January 06, 2021 at 12:00:00 AM",-2.511253663,-608.6487579
170,AAPL,186, $126.60 ,"January 06, 2021 at 12:00:00 AM",AAPL,186, $133.80 ,"January 21, 2021 at 12:00:00 AM",5.687207476,1339.200851
171,AAPL,182, $136.87 ,"January 21, 2021 at 12:00:00 AM",AAPL,182, $136.28 ,"January 22, 2021 at 12:00:00 AM",-0.431063315,-107.3793335
172,AAPL,178, $139.07 ,"January 22, 2021 at 12:00:00 AM",AAPL,178, $135.83 ,"January 29, 2021 at 12:00:00 AM",-2.329765818,-576.7209778
173,AAPL,184, $131.96 ,"January 29, 2021 at 12:00:00 AM",AAPL,184, $131.25 ,"February 17, 2021 at 12:00:00 AM",-0.538046891,-130.6412354
174,AAPL,184, $130.84 ,"February 17, 2021 at 12:00:00 AM",AAPL,184, $129.20 ,"February 18, 2021 at 12:00:00 AM",-1.253438884,-301.7598877
175,AAPL,184, $129.71 ,"February 18, 2021 at 12:00:00 AM",AAPL,184, $128.01 ,"February 22, 2021 at 12:00:00 AM",-1.310625333,-312.8022461
176,AAPL,187, $126.00 ,"February 22, 2021 at 12:00:00 AM",AAPL,187, $123.76 ,"February 23, 2021 at 12:00:00 AM",-1.777776082,-418.8796005
177,AAPL,183, $125.86 ,"February 23, 2021 at 12:00:00 AM",AAPL,183, $124.94 ,"February 24, 2021 at 12:00:00 AM",-0.730969462,-168.3596649
178,AAPL,183, $125.35 ,"February 24, 2021 at 12:00:00 AM",AAPL,183, $124.68 ,"February 25, 2021 at 12:00:00 AM",-0.534501936,-122.6096649
179,AAPL,188, $120.99 ,"February 25, 2021 at 12:00:00 AM",AAPL,188, $128.41 ,"March 02, 2021 at 12:00:00 AM",6.132743144,1394.96109
180,MSFT,103, $233.87 ,"March 02, 2021 at 12:00:00 AM",MSFT,103, $232.16 ,"March 03, 2021 at 12:00:00 AM",-0.731171801,-176.1291199
181,MCD,116, $205.82 ,"March 03, 2021 at 12:00:00 AM",MCD,116, $205.75 ,"March 05, 2021 at 12:00:00 AM",-0.034013858,-8.120849609
182,ABNB,133, $179.81 ,"March 05, 2021 at 12:00:00 AM",ABNB,133, $189.90 ,"March 11, 2021 at 12:00:00 AM",5.611476823,1341.969513
183,PEP,190, $133.22 ,"March 11, 2021 at 12:00:00 AM",PEP,190, $133.12 ,"March 12, 2021 at 12:00:00 AM",-0.075068385,-19.00115967
184,QCOM,195, $129.98 ,"March 12, 2021 at 12:00:00 AM",QCOM,195, $129.79 ,"March 19, 2021 at 12:00:00 AM",-0.146178218,-37.05047607
185,AAPL,211, $119.99 ,"March 19, 2021 at 12:00:00 AM",AAPL,211, $119.54 ,"March 25, 2021 at 12:00:00 AM",-0.375028716,-94.94935608
186,AAPL,209, $120.59 ,"March 25, 2021 at 12:00:00 AM",AAPL,209, $120.35 ,"March 26, 2021 at 12:00:00 AM",-0.199019712,-50.15955353
187,AAPL,208, $121.21 ,"March 26, 2021 at 12:00:00 AM",AAPL,208, $120.11 ,"March 30, 2021 at 12:00:00 AM",-0.90751463,-228.7996826
188,AAPL,208, $119.90 ,"March 30, 2021 at 12:00:00 AM",AAPL,208, $126.50 ,"April 06, 2021 at 12:00:00 AM",5.504585813,1372.799683
189,AAPL,208, $126.21 ,"April 06, 2021 at 12:00:00 AM",AAPL,208, $125.83 ,"April 07, 2021 at 12:00:00 AM",-0.301083318,-79.03942871
190,AAPL,205, $127.90 ,"April 07, 2021 at 12:00:00 AM",,,,,TOTAL PROFIT," $16,278.09 "
,,,,,,,,,STARTING VALUE," $10,000.00 "
,,,,,,,,,PROFIT (%),62.78%
