,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
37,QCOM,139, $69.31 ,"May 22, 2019 at 12:00:00 AM",QCOM,139, $67.02 ,"May 23, 2019 at 12:00:00 AM",-3.303997975,-318.3101273
38,MSFT,74, $126.18 ,"May 23, 2019 at 12:00:00 AM",MSFT,74, $125.38 ,"May 29, 2019 at 12:00:00 AM",-0.634017316,-59.20022583
39,QCOM,141, $65.76 ,"May 29, 2019 at 12:00:00 AM",QCOM,141, $71.58 ,"June 11, 2019 at 12:00:00 AM",8.850364212,820.619957
40,AAPL,207, $48.70 ,"June 11, 2019 at 12:00:00 AM",AAPL,207, $48.49 ,"June 12, 2019 at 12:00:00 AM",-0.441456096,-44.50503159
41,AAPL,207, $48.55 ,"June 12, 2019 at 12:00:00 AM",AAPL,207, $47.89 ,"June 14, 2019 at 12:00:00 AM",-1.359492948,-136.6199684
42,AAPL,205, $48.19 ,"June 14, 2019 at 12:00:00 AM",AAPL,205, $50.79 ,"July 01, 2019 at 12:00:00 AM",5.41143114,534.5371246
43,AAPL,207, $50.39 ,"July 01, 2019 at 12:00:00 AM",AAPL,207, $50.35 ,"July 02, 2019 at 12:00:00 AM",-0.069461368,-7.244968414
44,AAPL,206, $50.68 ,"July 02, 2019 at 12:00:00 AM",AAPL,206, $50.20 ,"July 08, 2019 at 12:00:00 AM",-0.947071578,-98.8799057
45,AAPL,206, $50.01 ,"July 08, 2019 at 12:00:00 AM",AAPL,206, $49.80 ,"July 09, 2019 at 12:00:00 AM",-0.409962657,-42.2303772
46,AAPL,204, $50.31 ,"July 09, 2019 at 12:00:00 AM",AAPL,204, $54.10 ,"July 31, 2019 at 12:00:00 AM",7.543228116,774.1796265
47,AAPL,208, $53.26 ,"July 31, 2019 at 12:00:00 AM",AAPL,208, $51.38 ,"August 02, 2019 at 12:00:00 AM",-3.525157127,-390.5197144
48,AAPL,209, $51.01 ,"August 02, 2019 at 12:00:00 AM",AAPL,209, $49.50 ,"August 05, 2019 at 12:00:00 AM",-2.955591929,-315.0674362
49,QCOM,150, $68.80 ,"August 05, 2019 at 12:00:00 AM",QCOM,150, $67.26 ,"August 07, 2019 at 12:00:00 AM",-2.238373324,-231.0001373
50,AAPL,203, $49.76 ,"August 07, 2019 at 12:00:00 AM",AAPL,203, $52.65 ,"August 19, 2019 at 12:00:00 AM",5.817927161,587.6850929
51,QCOM,143, $74.87 ,"August 19, 2019 at 12:00:00 AM",QCOM,143, $74.57 ,"August 20, 2019 at 12:00:00 AM",-0.400698599,-42.9004364
52,MSFT,77, $137.26 ,"August 20, 2019 at 12:00:00 AM",MSFT,77, $137.19 ,"August 23, 2019 at 12:00:00 AM",-0.050992327,-5.389389038
53,AAPL,210, $50.66 ,"August 23, 2019 at 12:00:00 AM",AAPL,210, $53.51 ,"September 06, 2019 at 12:00:00 AM",5.630676913,599.0251923
54,AAPL,211, $53.31 ,"September 06, 2019 at 12:00:00 AM",AAPL,211, $56.20 ,"September 12, 2019 at 12:00:00 AM",5.411239258,608.7354507
55,AAPL,213, $55.77 ,"September 12, 2019 at 12:00:00 AM",AAPL,213, $55.00 ,"September 13, 2019 at 12:00:00 AM",-1.3850896,-164.542305
56,AAPL,214, $54.69 ,"September 13, 2019 at 12:00:00 AM",AAPL,214, $54.43 ,"September 16, 2019 at 12:00:00 AM",-0.466287667,-54.57022858
57,AAPL,212, $54.97 ,"September 16, 2019 at 12:00:00 AM",AAPL,212, $54.74 ,"September 23, 2019 at 12:00:00 AM",-0.432013176,-50.34983826
