,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
201,TMUS,249,117.2600021,"November 05, 2020 at 12:00:00 AM",TMUS,249,127,"November 06, 2020 at 12:00:00 AM"
202,T,1154,27.44000053,"November 06, 2020 at 12:00:00 AM",T,1154,28.23999977,"November 09, 2020 at 12:00:00 AM"
203,AMD,392,83.12000275,"November 09, 2020 at 12:00:00 AM",AMD,392,83.93000031,"November 17, 2020 at 12:00:00 AM"
204,AAPL,275,119.3899994,"November 17, 2020 at 12:00:00 AM",AAPL,275,121.0100021,"December 01, 2020 at 12:00:00 AM"
205,QCOM,220,151.2599945,"December 01, 2020 at 12:00:00 AM",QCOM,220,158.5500031,"December 07, 2020 at 12:00:00 AM"
206,MSFT,163,214.2899933,"December 07, 2020 at 12:00:00 AM",MSFT,163,219.8699951,"December 17, 2020 at 12:00:00 AM"
207,MSFT,163,219.4199982,"December 17, 2020 at 12:00:00 AM",MSFT,163,222.6900024,"December 22, 2020 at 12:00:00 AM"
208,AAPL,276,131.8800049,"December 22, 2020 at 12:00:00 AM",AAPL,276,133.9900055,"December 28, 2020 at 12:00:00 AM"
209,AAPL,270,136.6900024,"December 28, 2020 at 12:00:00 AM",AAPL,270,138.0500031,"December 29, 2020 at 12:00:00 AM"
210,MCD,175,212.7100067,"December 29, 2020 at 12:00:00 AM",MCD,175,214.4900055,"January 04, 2021 at 12:00:00 AM"
211,MSFT,173,217.6900024,"January 04, 2021 at 12:00:00 AM",MSFT,173,224.6999969,"January 21, 2021 at 12:00:00 AM"
212,PEP,278,139.6100006,"January 21, 2021 at 12:00:00 AM",PEP,278,141.3099976,"January 26, 2021 at 12:00:00 AM"
213,MSFT,169,232.3300018,"January 26, 2021 at 12:00:00 AM",MSFT,169,238,"January 27, 2021 at 12:00:00 AM"
214,ABNB,200,201.25,"January 27, 2021 at 12:00:00 AM",ABNB,200,202.6000061,"January 28, 2021 at 12:00:00 AM"
215,MSFT,174,231.9600067,"January 29, 2021 at 12:00:00 AM",MSFT,174,235.0599976,"February 01, 2021 at 12:00:00 AM"
216,MCD,197,207.9299927,"February 01, 2021 at 12:00:00 AM",MCD,197,210,"February 04, 2021 at 12:00:00 AM"
217,MSFT,171,242.0099945,"February 04, 2021 at 12:00:00 AM",MSFT,171,245,"February 10, 2021 at 12:00:00 AM"
218,MSFT,173,242.8200073,"February 10, 2021 at 12:00:00 AM",MSFT,173,244.7799988,"February 11, 2021 at 12:00:00 AM"
219,AMD,457,92.66000366,"February 11, 2021 at 12:00:00 AM",AMD,457,93.90000153,"February 16, 2021 at 12:00:00 AM"
220,AAPL,322,133.1900024,"February 16, 2021 at 12:00:00 AM",,,,
