,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
46,AAPL,265,38.84249878,"June 07, 2017 at 12:00:00 AM",AAPL,265,37.49750137,"July 21, 2017 at 12:00:00 AM"
47,AMD,717,13.88000011,"July 21, 2017 at 12:00:00 AM",AMD,717,14,"July 24, 2017 at 12:00:00 AM"
48,AAPL,264,38.02249908,"July 24, 2017 at 12:00:00 AM",AAPL,264,38.33750153,"July 26, 2017 at 12:00:00 AM"
49,QCOM,190,53.13999939,"July 26, 2017 at 12:00:00 AM",QCOM,190,53.65999985,"August 15, 2017 at 12:00:00 AM"
50,INTC,284,36,"August 15, 2017 at 12:00:00 AM",INTC,284,36,"September 13, 2017 at 12:00:00 AM"
51,MSFT,136,74.76999664,"September 14, 2017 at 12:00:00 AM",MSFT,136,75.23000336,"September 18, 2017 at 12:00:00 AM"
52,AAPL,259,39.66749954,"September 18, 2017 at 12:00:00 AM",AAPL,259,39.87749863,"September 19, 2017 at 12:00:00 AM"
53,JNJ,76,135.2200012,"September 19, 2017 at 12:00:00 AM",JNJ,76,136.3399963,"October 12, 2017 at 12:00:00 AM"
54,AAPL,267,39,"October 12, 2017 at 12:00:00 AM",AAPL,267,39.47499847,"October 16, 2017 at 12:00:00 AM"
55,AAPL,264,39.97000122,"October 16, 2017 at 12:00:00 AM",AAPL,264,40.97249985,"October 30, 2017 at 12:00:00 AM"
56,QCOM,198,54.65999985,"October 30, 2017 at 12:00:00 AM",QCOM,198,64.54000092,"November 06, 2017 at 12:00:00 AM"
57,AMD,1071,11.93000031,"November 06, 2017 at 12:00:00 AM",AMD,1071,11.10000038,"December 20, 2017 at 12:00:00 AM"
58,QCOM,184,64.38999939,"December 21, 2017 at 12:00:00 AM",QCOM,184,65.22000122,"January 03, 2018 at 12:00:00 AM"
59,AAPL,279,43.05749893,"January 03, 2018 at 12:00:00 AM",AAPL,279,43.36000061,"January 05, 2018 at 12:00:00 AM"
60,AAPL,277,43.75,"January 05, 2018 at 12:00:00 AM",AAPL,277,44.04499817,"January 12, 2018 at 12:00:00 AM"
61,QCOM,186,65.37999725,"January 12, 2018 at 12:00:00 AM",QCOM,186,66.23000336,"January 16, 2018 at 12:00:00 AM"
62,MSFT,139,88.34999847,"January 16, 2018 at 12:00:00 AM",MSFT,139,89.08000183,"January 17, 2018 at 12:00:00 AM"
63,QCOM,183,68.01999664,"January 17, 2018 at 12:00:00 AM",QCOM,183,68.59999847,"January 23, 2018 at 12:00:00 AM"
64,MSFT,136,91.90000153,"January 23, 2018 at 12:00:00 AM",MSFT,136,92.55000305,"January 24, 2018 at 12:00:00 AM"
65,PEP,104,121.7600021,"January 26, 2018 at 12:00:00 AM",PEP,104,113.2699966,"March 13, 2018 at 12:00:00 AM"
66,T,315,37.38999939,"March 13, 2018 at 12:00:00 AM",T,315,37.59000015,"March 14, 2018 at 12:00:00 AM"
67,AMD,1042,11.35999966,"March 14, 2018 at 12:00:00 AM",AMD,1042,11.43000031,"March 15, 2018 at 12:00:00 AM"
68,QCOM,198,59.88999939,"March 15, 2018 at 12:00:00 AM",QCOM,198,60.59999847,"March 16, 2018 at 12:00:00 AM"
69,AAPL,270,44.50500107,"March 16, 2018 at 12:00:00 AM",AAPL,270,41.60250092,"May 01, 2018 at 12:00:00 AM"
70,AAPL,266,42.27500153,"May 01, 2018 at 12:00:00 AM",AAPL,266,43.80749893,"May 02, 2018 at 12:00:00 AM"
71,MSFT,124,93.51000214,"May 02, 2018 at 12:00:00 AM",MSFT,124,95.16999817,"May 07, 2018 at 12:00:00 AM"
72,JNJ,96,123.5899963,"May 07, 2018 at 12:00:00 AM",JNJ,96,124.2200012,"May 10, 2018 at 12:00:00 AM"
73,MSFT,122,97.91000366,"May 10, 2018 at 12:00:00 AM",MSFT,122,98.73000336,"May 24, 2018 at 12:00:00 AM"
74,AAPL,256,47.03749847,"May 24, 2018 at 12:00:00 AM",AAPL,256,47.90999985,"June 04, 2018 at 12:00:00 AM"
75,AAPL,255,47.95750046,"June 04, 2018 at 12:00:00 AM",AAPL,255,48.26750183,"June 05, 2018 at 12:00:00 AM"
76,MCD,77,159.4799957,"June 05, 2018 at 12:00:00 AM",MCD,77,163.75,"June 07, 2018 at 12:00:00 AM"
77,AMD,851,14.89000034,"June 07, 2018 at 12:00:00 AM",AMD,851,15.21000004,"June 11, 2018 at 12:00:00 AM"
78,AAPL,270,47.80749893,"June 11, 2018 at 12:00:00 AM",AAPL,270,48.10499954,"June 13, 2018 at 12:00:00 AM"
79,AAPL,273,47.67499924,"June 13, 2018 at 12:00:00 AM",AAPL,273,47.94499969,"July 18, 2018 at 12:00:00 AM"
80,AAPL,275,47.59999847,"July 18, 2018 at 12:00:00 AM",AAPL,275,47.94499969,"July 20, 2018 at 12:00:00 AM"
81,AAPL,275,47.86000061,"July 20, 2018 at 12:00:00 AM",AAPL,275,48.11249924,"July 24, 2018 at 12:00:00 AM"
82,AAPL,275,48.25,"July 24, 2018 at 12:00:00 AM",AAPL,275,48.65250015,"July 26, 2018 at 12:00:00 AM"
83,MSFT,122,109.6200027,"July 26, 2018 at 12:00:00 AM",MSFT,122,110.1800003,"July 27, 2018 at 12:00:00 AM"
84,AMD,710,18.94000053,"July 27, 2018 at 12:00:00 AM",AMD,710,19.39999962,"July 30, 2018 at 12:00:00 AM"
85,T,430,32,"July 30, 2018 at 12:00:00 AM",T,430,32.20000076,"August 01, 2018 at 12:00:00 AM"
86,QCOM,215,64.34999847,"August 01, 2018 at 12:00:00 AM",QCOM,215,64.73999786,"August 03, 2018 at 12:00:00 AM"
87,PEP,119,116.3000031,"August 03, 2018 at 12:00:00 AM",PEP,119,117.25,"August 06, 2018 at 12:00:00 AM"
88,JNJ,106,132.0200043,"August 06, 2018 at 12:00:00 AM",JNJ,106,134.9299927,"August 20, 2018 at 12:00:00 AM"
89,MSFT,134,106.8700027,"August 20, 2018 at 12:00:00 AM",MSFT,134,107.6699982,"August 24, 2018 at 12:00:00 AM"
90,INTC,303,47.65999985,"August 24, 2018 at 12:00:00 AM",INTC,303,48,"August 27, 2018 at 12:00:00 AM"
91,QCOM,216,67.33999634,"August 27, 2018 at 12:00:00 AM",QCOM,216,68.55999756,"August 28, 2018 at 12:00:00 AM"
92,AAPL,270,54.92499924,"August 28, 2018 at 12:00:00 AM",AAPL,270,55.8125,"August 30, 2018 at 12:00:00 AM"
93,AMD,605,24.88999939,"August 30, 2018 at 12:00:00 AM",AMD,605,24.88999939,"August 31, 2018 at 12:00:00 AM"
94,QCOM,215,69.98000336,"September 04, 2018 at 12:00:00 AM",QCOM,215,70.84999847,"September 06, 2018 at 12:00:00 AM"
95,PEP,134,113.5,"September 06, 2018 at 12:00:00 AM",PEP,134,114.4899979,"September 13, 2018 at 12:00:00 AM"
