,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,AAPL,72,137.13600158691406,"January 22, 2021 at 09:40:00 AM",AAPL,72.0,137.22000122070312,"January 22, 2021 at 10:05:00 AM"
1,TXN,57,174.6999969482422,"January 22, 2021 at 10:05:00 AM",TXN,57.0,175.36500549316406,"January 22, 2021 at 11:05:00 AM"
2,PEP,72,138.5449981689453,"January 22, 2021 at 11:05:00 AM",PEP,72.0,138.88999938964844,"January 22, 2021 at 11:30:00 AM"
3,ABNB,56,178.67010498046875,"January 22, 2021 at 11:30:00 AM",ABNB,56.0,178.8350067138672,"January 22, 2021 at 11:35:00 AM"
4,TTWO,49,205.11000061035156,"January 22, 2021 at 11:35:00 AM",TTWO,49.0,205.47999572753906,"January 22, 2021 at 11:50:00 AM"
5,MSFT,44,228.36000061035156,"January 22, 2021 at 11:50:00 AM",MSFT,44.0,229.5,"January 25, 2021 at 09:35:00 AM"
6,AAPL,70,144.8800048828125,"January 25, 2021 at 09:35:00 AM",,,,
