,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,JNJ,99,100.38999938964844,"January 06, 2016 at 12:00:00 AM",JNJ,99.0,102.5,"January 28, 2016 at 12:00:00 AM"
1,AMD,4908,2.0799999237060547,"January 28, 2016 at 12:00:00 AM",AMD,4908.0,2.1700000762939453,"February 01, 2016 at 12:00:00 AM"
2,QCOM,230,46.11000061035156,"February 01, 2016 at 12:00:00 AM",QCOM,230.0,47.04999923706055,"February 17, 2016 at 12:00:00 AM"
3,AAPL,443,24.530000686645508,"February 17, 2016 at 12:00:00 AM",AAPL,443.0,24.709999084472656,"February 18, 2016 at 12:00:00 AM"
4,AMD,5731,1.909999966621399,"February 18, 2016 at 12:00:00 AM",AMD,5731.0,1.9299999475479126,"February 19, 2016 at 12:00:00 AM"
5,JNJ,106,104.16000366210938,"February 19, 2016 at 12:00:00 AM",JNJ,106.0,104.16000366210938,"February 22, 2016 at 12:00:00 AM"
6,AAPL,456,24.219999313354492,"February 22, 2016 at 12:00:00 AM",AAPL,456.0,24.412500381469727,"March 01, 2016 at 12:00:00 AM"
7,TTWO,297,37.5,"March 01, 2016 at 12:00:00 AM",TTWO,297.0,38.04999923706055,"April 04, 2016 at 12:00:00 AM"
8,AAPL,407,27.780000686645508,"April 04, 2016 at 12:00:00 AM",AAPL,407.0,28.02750015258789,"April 15, 2016 at 12:00:00 AM"
9,PEP,109,103.7699966430664,"April 15, 2016 at 12:00:00 AM",PEP,109.0,104.91999816894531,"May 09, 2016 at 12:00:00 AM"
10,TTWO,332,34.689998626708984,"May 09, 2016 at 12:00:00 AM",TTWO,332.0,35.33000183105469,"May 11, 2016 at 12:00:00 AM"
11,AAPL,508,23.127500534057617,"May 11, 2016 at 12:00:00 AM",AAPL,508.0,23.637500762939453,"May 17, 2016 at 12:00:00 AM"
12,MSFT,237,50.5099983215332,"May 17, 2016 at 12:00:00 AM",MSFT,237.0,51.91999816894531,"May 25, 2016 at 12:00:00 AM"
13,MSFT,236,52.119998931884766,"May 25, 2016 at 12:00:00 AM",MSFT,236.0,52.439998626708984,"June 01, 2016 at 12:00:00 AM"
14,INTC,392,31.65999984741211,"June 01, 2016 at 12:00:00 AM",INTC,392.0,32.04999923706055,"June 13, 2016 at 12:00:00 AM"
15,MSFT,250,50.13999938964844,"June 13, 2016 at 12:00:00 AM",MSFT,250.0,50.40999984741211,"June 17, 2016 at 12:00:00 AM"
16,AAPL,530,23.832500457763672,"June 17, 2016 at 12:00:00 AM",AAPL,530.0,24.0,"June 20, 2016 at 12:00:00 AM"
17,TTWO,341,37.310001373291016,"June 21, 2016 at 12:00:00 AM",TTWO,341.0,37.63999938964844,"July 01, 2016 at 12:00:00 AM"
18,AMD,2532,5.070000171661377,"July 01, 2016 at 12:00:00 AM",AMD,2532.0,5.070000171661377,"July 07, 2016 at 12:00:00 AM"
19,AAPL,535,23.985000610351562,"July 07, 2016 at 12:00:00 AM",AAPL,535.0,24.122499465942383,"July 08, 2016 at 12:00:00 AM"
20,MSFT,245,52.59000015258789,"July 11, 2016 at 12:00:00 AM",MSFT,245.0,52.939998626708984,"July 12, 2016 at 12:00:00 AM"
21,JNJ,105,122.91999816894531,"July 12, 2016 at 12:00:00 AM",JNJ,105.0,123.7699966430664,"July 15, 2016 at 12:00:00 AM"
22,AAPL,530,24.69499969482422,"July 15, 2016 at 12:00:00 AM",AAPL,530.0,24.889999389648438,"July 19, 2016 at 12:00:00 AM"
23,AAPL,528,24.967500686645508,"July 19, 2016 at 12:00:00 AM",AAPL,528.0,26.0674991607666,"July 27, 2016 at 12:00:00 AM"
24,QCOM,220,62.5099983215332,"July 27, 2016 at 12:00:00 AM",QCOM,220.0,63.0,"August 23, 2016 at 12:00:00 AM"
25,TTWO,328,42.25,"August 23, 2016 at 12:00:00 AM",TTWO,328.0,44.25,"August 30, 2016 at 12:00:00 AM"
26,AAPL,548,26.5,"August 30, 2016 at 12:00:00 AM",AAPL,548.0,26.924999237060547,"September 02, 2016 at 12:00:00 AM"
27,MSFT,256,57.66999816894531,"September 02, 2016 at 12:00:00 AM",MSFT,256.0,60.279998779296875,"October 21, 2016 at 12:00:00 AM"
28,AAPL,529,29.149999618530273,"October 21, 2016 at 12:00:00 AM",AAPL,529.0,29.487499237060547,"October 25, 2016 at 12:00:00 AM"
29,AAPL,528,29.5625,"October 25, 2016 at 12:00:00 AM",AAPL,528.0,29.162500381469727,"December 30, 2016 at 12:00:00 AM"
30,AAPL,532,28.954999923706055,"December 30, 2016 at 12:00:00 AM",AAPL,532.0,29.19499969482422,"January 06, 2017 at 12:00:00 AM"
31,MSFT,247,62.84000015258789,"January 06, 2017 at 12:00:00 AM",MSFT,247.0,63.20000076293945,"January 24, 2017 at 12:00:00 AM"
32,AAPL,520,29.99250030517578,"January 24, 2017 at 12:00:00 AM",AAPL,520.0,30.417499542236328,"January 26, 2017 at 12:00:00 AM"
33,QCOM,293,54.04999923706055,"January 26, 2017 at 12:00:00 AM",QCOM,293.0,54.650001525878906,"January 27, 2017 at 12:00:00 AM"
34,MSFT,243,65.77999877929688,"January 27, 2017 at 12:00:00 AM",MSFT,243.0,65.38999938964844,"April 04, 2017 at 12:00:00 AM"
35,AAPL,442,36.005001068115234,"April 05, 2017 at 12:00:00 AM",AAPL,442.0,36.275001525878906,"May 01, 2017 at 12:00:00 AM"
36,QCOM,299,53.599998474121094,"May 01, 2017 at 12:00:00 AM",QCOM,299.0,54.72999954223633,"May 04, 2017 at 12:00:00 AM"
37,AAPL,447,36.63249969482422,"May 04, 2017 at 12:00:00 AM",AAPL,447.0,37.25749969482422,"May 08, 2017 at 12:00:00 AM"
38,MSFT,241,68.94000244140625,"May 08, 2017 at 12:00:00 AM",MSFT,241.0,69.80000305175781,"May 26, 2017 at 12:00:00 AM"
39,AAPL,439,38.40250015258789,"May 26, 2017 at 12:00:00 AM",AAPL,439.0,38.755001068115234,"June 07, 2017 at 12:00:00 AM"
40,AAPL,438,38.842498779296875,"June 07, 2017 at 12:00:00 AM",AAPL,438.0,39.81999969482422,"August 02, 2017 at 12:00:00 AM"
41,AAPL,444,39.28499984741211,"August 02, 2017 at 12:00:00 AM",AAPL,444.0,39.650001525878906,"August 08, 2017 at 12:00:00 AM"
42,QCOM,336,52.290000915527344,"August 08, 2017 at 12:00:00 AM",QCOM,336.0,53.040000915527344,"August 14, 2017 at 12:00:00 AM"
43,AAPL,447,39.962501525878906,"August 14, 2017 at 12:00:00 AM",AAPL,447.0,40.165000915527344,"August 15, 2017 at 12:00:00 AM"
44,INTC,498,36.0,"August 15, 2017 at 12:00:00 AM",INTC,498.0,36.0,"September 13, 2017 at 12:00:00 AM"
45,MSFT,240,74.7699966430664,"September 14, 2017 at 12:00:00 AM",MSFT,240.0,75.2300033569336,"September 18, 2017 at 12:00:00 AM"
46,AAPL,455,39.66749954223633,"September 18, 2017 at 12:00:00 AM",AAPL,455.0,39.877498626708984,"September 19, 2017 at 12:00:00 AM"
47,JNJ,134,135.22000122070312,"September 19, 2017 at 12:00:00 AM",JNJ,134.0,136.33999633789062,"October 12, 2017 at 12:00:00 AM"
48,AAPL,469,39.0,"October 12, 2017 at 12:00:00 AM",AAPL,469.0,39.474998474121094,"October 16, 2017 at 12:00:00 AM"
49,AAPL,463,39.970001220703125,"October 16, 2017 at 12:00:00 AM",AAPL,463.0,40.97249984741211,"October 30, 2017 at 12:00:00 AM"
50,QCOM,347,54.65999984741211,"October 30, 2017 at 12:00:00 AM",QCOM,347.0,64.54000091552734,"November 06, 2017 at 12:00:00 AM"
51,AMD,1879,11.930000305175781,"November 06, 2017 at 12:00:00 AM",AMD,1879.0,12.100000381469727,"January 04, 2018 at 12:00:00 AM"
52,MSFT,261,87.11000061035156,"January 04, 2018 at 12:00:00 AM",MSFT,261.0,87.66000366210938,"January 05, 2018 at 12:00:00 AM"
53,AAPL,523,43.75,"January 05, 2018 at 12:00:00 AM",AAPL,523.0,44.04499816894531,"January 12, 2018 at 12:00:00 AM"
54,QCOM,352,65.37999725341797,"January 12, 2018 at 12:00:00 AM",QCOM,352.0,66.2300033569336,"January 16, 2018 at 12:00:00 AM"
55,MSFT,264,88.3499984741211,"January 16, 2018 at 12:00:00 AM",MSFT,264.0,89.08000183105469,"January 17, 2018 at 12:00:00 AM"
56,QCOM,346,68.0199966430664,"January 17, 2018 at 12:00:00 AM",QCOM,346.0,68.5999984741211,"January 23, 2018 at 12:00:00 AM"
57,MSFT,258,91.9000015258789,"January 23, 2018 at 12:00:00 AM",MSFT,258.0,92.55000305175781,"January 24, 2018 at 12:00:00 AM"
58,PEP,196,121.76000213623047,"January 26, 2018 at 12:00:00 AM",PEP,196.0,107.77999877929688,"April 04, 2018 at 12:00:00 AM"
59,MSFT,229,92.33000183105469,"April 04, 2018 at 12:00:00 AM",MSFT,229.0,94.05000305175781,"April 13, 2018 at 12:00:00 AM"
60,MSFT,231,93.08000183105469,"April 13, 2018 at 12:00:00 AM",MSFT,231.0,94.06999969482422,"April 16, 2018 at 12:00:00 AM"
61,PEP,198,109.91999816894531,"April 16, 2018 at 12:00:00 AM",PEP,198.0,105.7300033569336,"June 20, 2018 at 12:00:00 AM"
62,QCOM,356,58.790000915527344,"June 20, 2018 at 12:00:00 AM",QCOM,356.0,59.209999084472656,"June 21, 2018 at 12:00:00 AM"
63,AMD,1396,15.109999656677246,"June 25, 2018 at 12:00:00 AM",AMD,1396.0,15.319999694824219,"June 26, 2018 at 12:00:00 AM"
64,TTWO,184,115.91000366210938,"June 26, 2018 at 12:00:00 AM",TTWO,184.0,118.81999969482422,"June 29, 2018 at 12:00:00 AM"
65,AAPL,474,46.27750015258789,"June 29, 2018 at 12:00:00 AM",AAPL,474.0,46.9474983215332,"July 03, 2018 at 12:00:00 AM"
66,AAPL,483,45.97999954223633,"July 03, 2018 at 12:00:00 AM",AAPL,483.0,46.314998626708984,"July 05, 2018 at 12:00:00 AM"
67,AAPL,477,46.99250030517578,"July 06, 2018 at 12:00:00 AM",AAPL,477.0,47.375,"July 09, 2018 at 12:00:00 AM"
68,T,702,32.150001525878906,"July 09, 2018 at 12:00:00 AM",T,702.0,32.47999954223633,"August 08, 2018 at 12:00:00 AM"
69,TTWO,182,124.94999694824219,"August 08, 2018 at 12:00:00 AM",TTWO,182.0,129.07000732421875,"August 13, 2018 at 12:00:00 AM"
70,AAPL,451,52.217498779296875,"August 13, 2018 at 12:00:00 AM",AAPL,451.0,52.540000915527344,"August 14, 2018 at 12:00:00 AM"
71,AMD,1185,20.020000457763672,"August 14, 2018 at 12:00:00 AM",AMD,1185.0,20.280000686645508,"August 22, 2018 at 12:00:00 AM"
72,QCOM,359,66.83999633789062,"August 22, 2018 at 12:00:00 AM",QCOM,359.0,67.37000274658203,"August 27, 2018 at 12:00:00 AM"
73,QCOM,359,67.33999633789062,"August 27, 2018 at 12:00:00 AM",QCOM,359.0,68.55999755859375,"August 28, 2018 at 12:00:00 AM"
74,AAPL,448,54.92499923706055,"August 28, 2018 at 12:00:00 AM",AAPL,448.0,55.8125,"August 30, 2018 at 12:00:00 AM"
75,AMD,1006,24.889999389648438,"August 30, 2018 at 12:00:00 AM",AMD,1006.0,24.889999389648438,"August 31, 2018 at 12:00:00 AM"
76,QCOM,358,69.9800033569336,"September 04, 2018 at 12:00:00 AM",QCOM,358.0,70.8499984741211,"September 06, 2018 at 12:00:00 AM"
77,PEP,223,113.5,"September 06, 2018 at 12:00:00 AM",PEP,223.0,114.48999786376953,"September 13, 2018 at 12:00:00 AM"
78,INTC,561,45.56999969482422,"September 13, 2018 at 12:00:00 AM",INTC,561.0,46.09000015258789,"September 19, 2018 at 12:00:00 AM"
79,AAPL,474,54.592498779296875,"September 19, 2018 at 12:00:00 AM",AAPL,474.0,55.060001373291016,"September 20, 2018 at 12:00:00 AM"
80,MCD,162,160.7899932861328,"September 20, 2018 at 12:00:00 AM",MCD,162.0,162.7100067138672,"September 21, 2018 at 12:00:00 AM"
81,MSFT,231,114.26000213623047,"September 21, 2018 at 12:00:00 AM",MSFT,231.0,115.30000305175781,"October 02, 2018 at 12:00:00 AM"
82,AMD,918,29.020000457763672,"October 02, 2018 at 12:00:00 AM",AMD,918.0,21.299999237060547,"December 07, 2018 at 12:00:00 AM"
83,AAPL,464,42.122501373291016,"December 07, 2018 at 12:00:00 AM",AAPL,464.0,42.915000915527344,"December 11, 2018 at 12:00:00 AM"
84,AAPL,472,42.157501220703125,"December 11, 2018 at 12:00:00 AM",AAPL,472.0,42.599998474121094,"December 12, 2018 at 12:00:00 AM"
85,PEP,172,117.0,"December 12, 2018 at 12:00:00 AM",PEP,172.0,115.75,"February 20, 2019 at 12:00:00 AM"
86,AAPL,463,43.00749969482422,"February 20, 2019 at 12:00:00 AM",AAPL,463.0,43.540000915527344,"February 25, 2019 at 12:00:00 AM"
87,AAPL,463,43.557498931884766,"February 25, 2019 at 12:00:00 AM",AAPL,463.0,43.92250061035156,"March 04, 2019 at 12:00:00 AM"
88,AAPL,462,43.962501525878906,"March 04, 2019 at 12:00:00 AM",AAPL,462.0,45.0,"March 12, 2019 at 12:00:00 AM"
89,PEP,178,116.56999969482422,"March 12, 2019 at 12:00:00 AM",PEP,178.0,117.36000061035156,"March 19, 2019 at 12:00:00 AM"
90,PEP,177,118.08999633789062,"March 19, 2019 at 12:00:00 AM",PEP,177.0,119.5,"March 22, 2019 at 12:00:00 AM"
91,AMD,804,26.3700008392334,"March 22, 2019 at 12:00:00 AM",AMD,804.0,26.690000534057617,"March 26, 2019 at 12:00:00 AM"
92,MSFT,182,117.91000366210938,"March 26, 2019 at 12:00:00 AM",MSFT,182.0,118.94999694824219,"April 01, 2019 at 12:00:00 AM"
93,AAPL,453,47.810001373291016,"April 01, 2019 at 12:00:00 AM",AAPL,453.0,48.3125,"April 03, 2019 at 12:00:00 AM"
94,AAPL,448,48.837501525878906,"April 03, 2019 at 12:00:00 AM",AAPL,448.0,49.11249923706055,"April 05, 2019 at 12:00:00 AM"
95,QCOM,379,57.9900016784668,"April 05, 2019 at 12:00:00 AM",QCOM,379.0,78.81999969482422,"April 17, 2019 at 12:00:00 AM"
96,AMD,1087,27.489999771118164,"April 17, 2019 at 12:00:00 AM",AMD,1087.0,28.18000030517578,"April 23, 2019 at 12:00:00 AM"
97,INTC,521,58.779998779296875,"April 23, 2019 at 12:00:00 AM",INTC,521.0,48.150001525878906,"June 27, 2019 at 12:00:00 AM"
98,AAPL,503,49.935001373291016,"June 27, 2019 at 12:00:00 AM",AAPL,503.0,50.79249954223633,"July 01, 2019 at 12:00:00 AM"
99,INTC,531,48.04999923706055,"July 01, 2019 at 12:00:00 AM",INTC,531.0,48.560001373291016,"July 11, 2019 at 12:00:00 AM"
100,PEP,192,134.35000610351562,"July 11, 2019 at 12:00:00 AM",PEP,192.0,135.61000061035156,"August 29, 2019 at 12:00:00 AM"
101,AAPL,498,52.252498626708984,"August 29, 2019 at 12:00:00 AM",AAPL,498.0,52.540000915527344,"August 30, 2019 at 12:00:00 AM"
102,JNJ,203,128.74000549316406,"September 03, 2019 at 12:00:00 AM",JNJ,203.0,129.49000549316406,"September 04, 2019 at 12:00:00 AM"
103,AMD,851,30.950000762939453,"September 04, 2019 at 12:00:00 AM",AMD,851.0,31.790000915527344,"September 05, 2019 at 12:00:00 AM"
104,AAPL,507,53.31999969482422,"September 05, 2019 at 12:00:00 AM",AAPL,507.0,53.709999084472656,"September 09, 2019 at 12:00:00 AM"
105,PEP,199,136.39999389648438,"September 09, 2019 at 12:00:00 AM",PEP,199.0,138.44000244140625,"October 03, 2019 at 12:00:00 AM"
106,AAPL,487,56.752498626708984,"October 04, 2019 at 12:00:00 AM",AAPL,487.0,58.23749923706055,"October 11, 2019 at 12:00:00 AM"
107,AAPL,480,59.0525016784668,"October 11, 2019 at 12:00:00 AM",AAPL,480.0,59.380001068115234,"October 21, 2019 at 12:00:00 AM"
108,T,746,38.22999954223633,"October 21, 2019 at 12:00:00 AM",T,746.0,38.4900016784668,"October 29, 2019 at 12:00:00 AM"
109,PEP,211,136.0800018310547,"October 29, 2019 at 12:00:00 AM",PEP,211.0,136.8000030517578,"October 31, 2019 at 12:00:00 AM"
110,MSFT,201,143.3699951171875,"October 31, 2019 at 12:00:00 AM",MSFT,201.0,144.25999450683594,"November 01, 2019 at 12:00:00 AM"
111,AAPL,454,63.95500183105469,"November 01, 2019 at 12:00:00 AM",AAPL,454.0,64.3324966430664,"November 04, 2019 at 12:00:00 AM"
112,QCOM,343,85.08999633789062,"November 04, 2019 at 12:00:00 AM",QCOM,343.0,89.83000183105469,"November 07, 2019 at 12:00:00 AM"
113,JNJ,234,131.42999267578125,"November 07, 2019 at 12:00:00 AM",JNJ,234.0,132.27000427246094,"November 11, 2019 at 12:00:00 AM"
114,AMD,855,36.310001373291016,"November 11, 2019 at 12:00:00 AM",AMD,855.0,36.650001525878906,"November 13, 2019 at 12:00:00 AM"
