,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,T,347,28.790000915527344,"January 25, 2021 at 12:00:00 AM",T,347.0,29.100000381469727,"January 26, 2021 at 12:00:00 AM"
1,AAPL,71,142.21209716796875,"January 26, 2021 at 12:00:00 AM",AAPL,71.0,143.42999267578125,"January 27, 2021 at 12:00:00 AM"
2,QCOM,64,157.30999755859375,"January 27, 2021 at 12:00:00 AM",QCOM,64.0,155.19500732421875,"January 28, 2021 at 12:00:00 AM"
3,SNE,103,97.61000061035156,"January 28, 2021 at 12:00:00 AM",SNE,103.0,96.30000305175781,"January 29, 2021 at 12:00:00 AM"
4,AAPL,75,131.94500732421875,"January 29, 2021 at 12:00:00 AM",AAPL,75.0,133.75,"February 01, 2021 at 12:00:00 AM"
5,QCOM,63,159.4499969482422,"February 01, 2021 at 12:00:00 AM",QCOM,63.0,164.50999450683594,"February 02, 2021 at 12:00:00 AM"
6,ABNB,56,182.64999389648438,"February 02, 2021 at 12:00:00 AM",ABNB,56.0,184.4073944091797,"February 03, 2021 at 12:00:00 AM"
7,MSFT,43,242.85499572753906,"February 03, 2021 at 12:00:00 AM",MSFT,43.0,240.6649932861328,"February 04, 2021 at 12:00:00 AM"
8,AAPL,76,135.92999267578125,"February 04, 2021 at 12:00:00 AM",AAPL,76.0,136.9550018310547,"February 05, 2021 at 12:00:00 AM"
9,SNE,90,116.0999984741211,"February 05, 2021 at 12:00:00 AM",SNE,90.0,115.08999633789062,"February 08, 2021 at 12:00:00 AM"
10,PEP,73,140.5800018310547,"February 08, 2021 at 12:00:00 AM",PEP,73.0,139.85000610351562,"February 09, 2021 at 12:00:00 AM"
11,QCOM,70,147.28219604492188,"February 09, 2021 at 12:00:00 AM",QCOM,70.0,145.82989501953125,"February 10, 2021 at 12:00:00 AM"
12,AAPL,75,135.19000244140625,"February 10, 2021 at 12:00:00 AM",AAPL,75.0,135.89999389648438,"February 11, 2021 at 12:00:00 AM"
13,TTWO,51,198.03990173339844,"February 11, 2021 at 12:00:00 AM",TTWO,51.0,196.16000366210938,"February 12, 2021 at 12:00:00 AM"
14,QCOM,69,146.64999389648438,"February 12, 2021 at 12:00:00 AM",QCOM,69.0,149.0,"February 16, 2021 at 12:00:00 AM"
15,QCOM,69,148.35169982910156,"February 16, 2021 at 12:00:00 AM",QCOM,69.0,144.6699981689453,"February 17, 2021 at 12:00:00 AM"
16,T,343,29.3799991607666,"February 17, 2021 at 12:00:00 AM",T,343.0,29.549999237060547,"February 18, 2021 at 12:00:00 AM"
17,PEP,75,134.77000427246094,"February 18, 2021 at 12:00:00 AM",PEP,75.0,134.36000061035156,"February 19, 2021 at 12:00:00 AM"
18,INTC,160,63.029998779296875,"February 19, 2021 at 12:00:00 AM",INTC,160.0,61.43000030517578,"February 22, 2021 at 12:00:00 AM"
19,PEP,75,131.26820373535156,"February 22, 2021 at 12:00:00 AM",PEP,75.0,132.64999389648438,"February 23, 2021 at 12:00:00 AM"
20,INTC,165,60.279998779296875,"February 23, 2021 at 12:00:00 AM",INTC,165.0,61.33000183105469,"February 24, 2021 at 12:00:00 AM"
21,INTC,164,61.39500045776367,"February 24, 2021 at 12:00:00 AM",INTC,164.0,62.66999816894531,"February 25, 2021 at 12:00:00 AM"
22,NVDA,18,561.6099853515625,"February 25, 2021 at 12:00:00 AM",NVDA,18.0,536.4500122070312,"February 26, 2021 at 12:00:00 AM"
