,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,AAPL,161,61.935001373291016,"March 27, 2020 at 12:00:00 AM",AAPL,161.0,62.685001373291016,"March 30, 2020 at 12:00:00 AM"
1,AAPL,159,63.5724983215332,"March 31, 2020 at 12:00:00 AM",AAPL,159.0,67.69999694824219,"April 07, 2020 at 12:00:00 AM"
2,AAPL,166,64.85749816894531,"April 07, 2020 at 12:00:00 AM",AAPL,166.0,65.68499755859375,"April 08, 2020 at 12:00:00 AM"
3,AAPL,162,66.99749755859375,"April 09, 2020 at 12:00:00 AM",AAPL,162.0,70.0,"April 14, 2020 at 12:00:00 AM"
4,AAPL,158,71.76249694824219,"April 14, 2020 at 12:00:00 AM",AAPL,158.0,69.30000305175781,"April 24, 2020 at 12:00:00 AM"
5,T,370,29.709999084472656,"April 24, 2020 at 12:00:00 AM",T,370.0,29.989999771118164,"April 27, 2020 at 12:00:00 AM"
6,AAPL,157,70.7925033569336,"April 27, 2020 at 12:00:00 AM",AAPL,157.0,71.2699966430664,"April 28, 2020 at 12:00:00 AM"
7,AAPL,152,73.44999694824219,"April 30, 2020 at 12:00:00 AM",AAPL,152.0,75.11499786376953,"May 06, 2020 at 12:00:00 AM"
8,SNE,178,63.95000076293945,"May 06, 2020 at 12:00:00 AM",SNE,178.0,64.2699966430664,"May 07, 2020 at 12:00:00 AM"
9,NVDA,37,304.8699951171875,"May 07, 2020 at 12:00:00 AM",NVDA,37.0,307.75,"May 08, 2020 at 12:00:00 AM"
10,TMUS,117,98.5199966430664,"May 08, 2020 at 12:00:00 AM",TMUS,117.0,99.13999938964844,"May 20, 2020 at 12:00:00 AM"
11,NVDA,32,358.79998779296875,"May 20, 2020 at 12:00:00 AM",NVDA,32.0,362.05999755859375,"May 21, 2020 at 12:00:00 AM"
12,AAPL,148,79.2125015258789,"May 21, 2020 at 12:00:00 AM",AAPL,148.0,80.875,"May 26, 2020 at 12:00:00 AM"
13,AAPL,151,79.18250274658203,"May 26, 2020 at 12:00:00 AM",AAPL,151.0,79.8125,"May 29, 2020 at 12:00:00 AM"
14,NVDA,34,355.0199890136719,"May 29, 2020 at 12:00:00 AM",NVDA,34.0,366.7099914550781,"June 10, 2020 at 12:00:00 AM"
15,NVDA,33,374.6700134277344,"June 10, 2020 at 12:00:00 AM",NVDA,33.0,372.0,"June 22, 2020 at 12:00:00 AM"
16,NVDA,32,381.07000732421875,"June 22, 2020 at 12:00:00 AM",NVDA,32.0,380.8299865722656,"July 01, 2020 at 12:00:00 AM"
17,TTWO,86,144.11000061035156,"July 01, 2020 at 12:00:00 AM",TTWO,86.0,145.00999450683594,"July 02, 2020 at 12:00:00 AM"
18,TMUS,117,106.01000213623047,"July 02, 2020 at 12:00:00 AM",TMUS,117.0,106.5999984741211,"July 06, 2020 at 12:00:00 AM"
19,QCOM,135,92.91999816894531,"July 06, 2020 at 12:00:00 AM",QCOM,135.0,93.94999694824219,"July 09, 2020 at 12:00:00 AM"
20,AAPL,132,95.75250244140625,"July 09, 2020 at 12:00:00 AM",AAPL,132.0,97.26499938964844,"July 13, 2020 at 12:00:00 AM"
21,AAPL,135,95.47750091552734,"July 13, 2020 at 12:00:00 AM",AAPL,135.0,98.98999786376953,"July 15, 2020 at 12:00:00 AM"
22,AAPL,136,97.7249984741211,"July 15, 2020 at 12:00:00 AM",AAPL,136.0,99.17250061035156,"July 21, 2020 at 12:00:00 AM"
23,AAPL,140,97.0,"July 21, 2020 at 12:00:00 AM",AAPL,140.0,96.99749755859375,"July 23, 2020 at 12:00:00 AM"
24,AAPL,146,92.84500122070312,"July 23, 2020 at 12:00:00 AM",AAPL,146.0,93.70999908447266,"July 27, 2020 at 12:00:00 AM"
25,AAPL,144,94.80999755859375,"July 27, 2020 at 12:00:00 AM",AAPL,144.0,102.88500213623047,"July 31, 2020 at 12:00:00 AM"
26,INTC,311,47.72999954223633,"July 31, 2020 at 12:00:00 AM",INTC,311.0,48.27000045776367,"August 03, 2020 at 12:00:00 AM"
27,QCOM,135,110.94999694824219,"August 04, 2020 at 12:00:00 AM",QCOM,135.0,116.19999694824219,"August 13, 2020 at 12:00:00 AM"
28,AAPL,136,115.01000213623047,"August 13, 2020 at 12:00:00 AM",AAPL,136.0,116.0625,"August 17, 2020 at 12:00:00 AM"
