,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,AAPL,1226,8.155714035,"March 23, 2010 at 12:00:00 AM",AAPL,1226,8.247142792,"March 25, 2010 at 12:00:00 AM"
1,MSFT,340,29.65999985,"March 26, 2010 at 12:00:00 AM",MSFT,340,30.25,"April 12, 2010 at 12:00:00 AM"
2,AAPL,1191,8.653214455,"April 12, 2010 at 12:00:00 AM",AAPL,1191,8.760000229,"April 14, 2010 at 12:00:00 AM"
3,INTC,443,23.52000046,"April 14, 2010 at 12:00:00 AM",INTC,443,23.82999992,"April 15, 2010 at 12:00:00 AM"
4,T,403,26.23999977,"April 15, 2010 at 12:00:00 AM",T,403,26.73999977,"April 21, 2010 at 12:00:00 AM"
5,AMD,1102,9.779999733,"April 21, 2010 at 12:00:00 AM",AMD,1102,8.220000267,"June 25, 2010 at 12:00:00 AM"
6,PEP,149,60.77000046,"June 25, 2010 at 12:00:00 AM",PEP,149,61.45999908,"June 29, 2010 at 12:00:00 AM"
7,AAPL,1001,9.148928642,"June 29, 2010 at 12:00:00 AM",AAPL,1001,9.374285698,"July 08, 2010 at 12:00:00 AM"
8,AAPL,1018,9.217499733,"July 08, 2010 at 12:00:00 AM",AAPL,1018,9.467499733,"July 21, 2010 at 12:00:00 AM"
9,AAPL,1061,9.079999924,"July 21, 2010 at 12:00:00 AM",AAPL,1061,9.202857018,"July 22, 2010 at 12:00:00 AM"
10,AAPL,1052,9.283571243,"July 23, 2010 at 12:00:00 AM",AAPL,1052,9.416786194,"July 28, 2010 at 12:00:00 AM"
11,AAPL,1063,9.319999695,"July 28, 2010 at 12:00:00 AM",AAPL,1063,9.465714455,"September 09, 2010 at 12:00:00 AM"
12,JNJ,168,59.81999969,"September 09, 2010 at 12:00:00 AM",JNJ,168,60.43000031,"September 14, 2010 at 12:00:00 AM"
13,MSFT,406,25.03000069,"September 14, 2010 at 12:00:00 AM",MSFT,406,25.39999962,"September 17, 2010 at 12:00:00 AM"
14,INTC,548,18.80999947,"September 17, 2010 at 12:00:00 AM",INTC,548,19.04000092,"September 22, 2010 at 12:00:00 AM"
15,AMD,1668,6.260000229,"September 22, 2010 at 12:00:00 AM",AMD,1668,6.599999905,"September 24, 2010 at 12:00:00 AM"
16,QCOM,247,44.54999924,"September 24, 2010 at 12:00:00 AM",QCOM,247,45.06999969,"September 30, 2010 at 12:00:00 AM"
17,AAPL,1099,10.13392925,"September 30, 2010 at 12:00:00 AM",AAPL,1099,10.34249973,"October 06, 2010 at 12:00:00 AM"
18,AAPL,1101,10.32821369,"October 06, 2010 at 12:00:00 AM",AAPL,1101,10.52642918,"October 11, 2010 at 12:00:00 AM"
19,AAPL,1098,10.54857063,"October 11, 2010 at 12:00:00 AM",AAPL,1098,10.72142887,"October 13, 2010 at 12:00:00 AM"
20,MSFT,464,25.34000015,"October 13, 2010 at 12:00:00 AM",MSFT,464,25.79000092,"October 27, 2010 at 12:00:00 AM"
21,AAPL,1090,10.99392891,"October 27, 2010 at 12:00:00 AM",AAPL,1090,11.12035656,"November 03, 2010 at 12:00:00 AM"
22,AMD,1587,7.639999866,"November 03, 2010 at 12:00:00 AM",AMD,1587,8.029999733,"November 05, 2010 at 12:00:00 AM"
23,QCOM,266,47.79999924,"November 08, 2010 at 12:00:00 AM",QCOM,266,48.43000031,"November 18, 2010 at 12:00:00 AM"
24,QCOM,270,47.72000122,"November 18, 2010 at 12:00:00 AM",QCOM,270,48.40000153,"December 03, 2010 at 12:00:00 AM"
25,AMD,1674,7.820000172,"December 06, 2010 at 12:00:00 AM",AMD,1674,7.909999847,"December 07, 2010 at 12:00:00 AM"
26,CSCO,683,19.38999939,"December 07, 2010 at 12:00:00 AM",CSCO,683,19.75,"December 10, 2010 at 12:00:00 AM"
27,T,467,28.88999939,"December 10, 2010 at 12:00:00 AM",T,467,29.32999992,"December 15, 2010 at 12:00:00 AM"
28,MSFT,491,27.85000038,"December 15, 2010 at 12:00:00 AM",MSFT,491,27.85000038,"December 21, 2010 at 12:00:00 AM"
29,AAPL,1183,11.57857132,"December 21, 2010 at 12:00:00 AM",AAPL,1183,11.87285709,"January 04, 2011 at 12:00:00 AM"
30,AAPL,1187,11.83178616,"January 04, 2011 at 12:00:00 AM",AAPL,1187,11.95428562,"January 06, 2011 at 12:00:00 AM"
31,AAPL,1190,11.9189291,"January 06, 2011 at 12:00:00 AM",AAPL,1190,12.10107136,"January 10, 2011 at 12:00:00 AM"
32,AAPL,1178,12.23035717,"January 10, 2011 at 12:00:00 AM",AAPL,1178,12.35321426,"January 14, 2011 at 12:00:00 AM"
33,TTWO,1116,13.02999973,"January 14, 2011 at 12:00:00 AM",TTWO,1116,13.73999977,"February 03, 2011 at 12:00:00 AM"
34,INTC,711,21.56999969,"February 03, 2011 at 12:00:00 AM",INTC,711,21.56999969,"February 16, 2011 at 12:00:00 AM"
35,PEP,239,63.95999908,"February 16, 2011 at 12:00:00 AM",PEP,239,64.61000061,"March 11, 2011 at 12:00:00 AM"
36,TTWO,1003,15.43999958,"March 11, 2011 at 12:00:00 AM",TTWO,1003,15.64000034,"March 25, 2011 at 12:00:00 AM"
37,AAPL,1250,12.55500031,"March 25, 2011 at 12:00:00 AM",AAPL,1250,12.45964336,"June 01, 2011 at 12:00:00 AM"
38,AMD,1861,8.369999886,"June 01, 2011 at 12:00:00 AM",AMD,1861,6.590000153,"August 05, 2011 at 12:00:00 AM"
39,PEP,194,62.97000122,"August 08, 2011 at 12:00:00 AM",PEP,194,63.77000046,"August 17, 2011 at 12:00:00 AM"
40,MCD,141,87.5,"August 17, 2011 at 12:00:00 AM",MCD,141,89.05999756,"August 24, 2011 at 12:00:00 AM"
41,AAPL,941,13.43500042,"August 24, 2011 at 12:00:00 AM",AAPL,941,13.86357117,"August 29, 2011 at 12:00:00 AM"
42,MSFT,504,25.84000015,"August 29, 2011 at 12:00:00 AM",MSFT,504,26.29000092,"August 31, 2011 at 12:00:00 AM"
43,T,466,28.47999954,"August 31, 2011 at 12:00:00 AM",T,466,28.81999969,"September 16, 2011 at 12:00:00 AM"
44,JNJ,207,64.58999634,"September 16, 2011 at 12:00:00 AM",JNJ,207,65.63999939,"October 28, 2011 at 12:00:00 AM"
45,MSFT,505,26.97999954,"October 28, 2011 at 12:00:00 AM",MSFT,505,27.37999916,"January 05, 2012 at 12:00:00 AM"
46,QCOM,247,56.06000137,"January 05, 2012 at 12:00:00 AM",QCOM,247,56.93000031,"January 17, 2012 at 12:00:00 AM"
47,AAPL,927,15.16785717,"January 17, 2012 at 12:00:00 AM",AAPL,927,15.36250019,"January 19, 2012 at 12:00:00 AM"
48,AMD,2290,6.21999979,"January 19, 2012 at 12:00:00 AM",AMD,2290,6.21999979,"January 20, 2012 at 12:00:00 AM"
49,MSFT,479,29.72999954,"January 23, 2012 at 12:00:00 AM",MSFT,479,30.13999939,"February 03, 2012 at 12:00:00 AM"
50,MCD,144,100.0100021,"February 03, 2012 at 12:00:00 AM",MCD,144,101.1200027,"February 08, 2012 at 12:00:00 AM"
51,AMD,2014,7.25,"February 08, 2012 at 12:00:00 AM",AMD,2014,7.380000114,"February 15, 2012 at 12:00:00 AM"
52,QCOM,241,61.58000183,"February 15, 2012 at 12:00:00 AM",QCOM,241,62.25999832,"February 17, 2012 at 12:00:00 AM"
53,AAPL,838,17.93285751,"February 17, 2012 at 12:00:00 AM",AAPL,838,18.32428551,"February 22, 2012 at 12:00:00 AM"
54,AAPL,838,18.3228569,"February 22, 2012 at 12:00:00 AM",AAPL,838,18.55964279,"February 24, 2012 at 12:00:00 AM"
55,AAPL,833,18.65749931,"February 24, 2012 at 12:00:00 AM",AAPL,833,18.8557148,"February 28, 2012 at 12:00:00 AM"
56,MSFT,493,31.87000084,"February 28, 2012 at 12:00:00 AM",MSFT,493,32.31000137,"March 02, 2012 at 12:00:00 AM"
57,MSFT,496,32.08000183,"March 02, 2012 at 12:00:00 AM",MSFT,496,32.52999878,"March 14, 2012 at 12:00:00 AM"
58,QCOM,248,65.11000061,"March 14, 2012 at 12:00:00 AM",QCOM,248,65.83999634,"March 19, 2012 at 12:00:00 AM"
59,AAPL,761,21.46785736,"March 19, 2012 at 12:00:00 AM",AAPL,761,22.08499908,"March 28, 2012 at 12:00:00 AM"
60,CSCO,799,21.03000069,"March 29, 2012 at 12:00:00 AM",CSCO,799,16.05999947,"June 05, 2012 at 12:00:00 AM"
