,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,INTC,157,63.439998626708984,"March 15, 2021 at 09:32:00 AM",INTC,157.0,63.52000045776367,"March 15, 2021 at 03:46:00 PM"
1,AAPL,80,123.75990295410156,"March 15, 2021 at 03:46:00 PM",AAPL,80.0,123.94999694824219,"March 15, 2021 at 03:56:00 PM"
2,T,335,29.91990089416504,"March 15, 2021 at 03:56:00 PM",T,335.0,29.96500015258789,"March 16, 2021 at 10:07:00 AM"
3,MSFT,42,238.67999267578125,"March 16, 2021 at 10:07:00 AM",MSFT,42.0,239.0800018310547,"March 16, 2021 at 10:10:00 AM"
4,AAPL,79,126.53739929199219,"March 16, 2021 at 10:10:00 AM",AAPL,79.0,126.79499816894531,"March 16, 2021 at 10:52:00 AM"
5,INTC,153,65.45999908447266,"March 16, 2021 at 10:52:00 AM",INTC,153.0,65.54499816894531,"March 16, 2021 at 11:09:00 AM"
6,TTWO,58,173.0749969482422,"March 16, 2021 at 11:10:00 AM",TTWO,58.0,173.2899932861328,"March 16, 2021 at 11:13:00 AM"
7,ABNB,48,206.8000030517578,"March 16, 2021 at 11:13:00 AM",ABNB,48.0,207.02499389648438,"March 16, 2021 at 11:15:00 AM"
8,NVDA,18,538.7000122070312,"March 16, 2021 at 11:15:00 AM",,,,
