,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,MSFT,97,102.80000305175781,"January 11, 2019 at 12:00:00 AM",MSFT,97.0,105.26000213623047,"January 16, 2019 at 12:00:00 AM"
1,MSFT,96,105.68000030517578,"January 22, 2019 at 12:00:00 AM",MSFT,96.0,106.86000061035156,"January 24, 2019 at 12:00:00 AM"
2,MSFT,97,105.66999816894531,"February 08, 2019 at 12:00:00 AM",MSFT,97.0,107.5,"February 13, 2019 at 12:00:00 AM"
3,MSFT,97,108.22000122070312,"February 15, 2019 at 12:00:00 AM",MSFT,97.0,110.05000305175781,"February 22, 2019 at 12:00:00 AM"
4,MSFT,95,112.02999877929688,"February 28, 2019 at 12:00:00 AM",MSFT,95.0,109.16000366210938,"March 08, 2019 at 12:00:00 AM"
5,MSFT,87,119.19000244140625,"April 02, 2019 at 12:00:00 AM",MSFT,87.0,119.76000213623047,"April 10, 2019 at 12:00:00 AM"
6,MSFT,79,132.32000732421875,"June 13, 2019 at 12:00:00 AM",MSFT,79.0,134.19000244140625,"June 18, 2019 at 12:00:00 AM"
7,MSFT,77,136.9499969482422,"June 20, 2019 at 12:00:00 AM",MSFT,77.0,134.57000732421875,"June 28, 2019 at 12:00:00 AM"
8,MSFT,76,137.4600067138672,"July 03, 2019 at 12:00:00 AM",MSFT,76.0,138.85000610351562,"July 12, 2019 at 12:00:00 AM"
9,MSFT,75,138.89999389648438,"July 15, 2019 at 12:00:00 AM",MSFT,75.0,139.75999450683594,"July 23, 2019 at 12:00:00 AM"
10,MSFT,76,138.88999938964844,"August 08, 2019 at 12:00:00 AM",MSFT,76.0,134.8800048828125,"August 16, 2019 at 12:00:00 AM"
11,MSFT,75,137.25999450683594,"August 20, 2019 at 12:00:00 AM",MSFT,75.0,138.66000366210938,"August 22, 2019 at 12:00:00 AM"
12,MSFT,76,135.74000549316406,"August 27, 2019 at 12:00:00 AM",MSFT,76.0,137.25,"August 29, 2019 at 12:00:00 AM"
13,MSFT,75,140.0500030517578,"September 05, 2019 at 12:00:00 AM",MSFT,75.0,137.77999877929688,"September 13, 2019 at 12:00:00 AM"
14,MSFT,74,138.52000427246094,"September 18, 2019 at 12:00:00 AM",MSFT,74.0,140.3000030517578,"September 19, 2019 at 12:00:00 AM"
15,MSFT,76,137.72999572753906,"September 27, 2019 at 12:00:00 AM",MSFT,76.0,139.66000366210938,"October 01, 2019 at 12:00:00 AM"
16,MSFT,77,138.1199951171875,"October 04, 2019 at 12:00:00 AM",MSFT,77.0,140.1199951171875,"October 11, 2019 at 12:00:00 AM"
17,MSFT,77,139.94000244140625,"October 24, 2019 at 12:00:00 AM",MSFT,77.0,144.39999389648438,"October 28, 2019 at 12:00:00 AM"
18,MSFT,74,150.38999938964844,"November 19, 2019 at 12:00:00 AM",MSFT,74.0,152.3300018310547,"November 27, 2019 at 12:00:00 AM"
19,MSFT,73,153.24000549316406,"December 12, 2019 at 12:00:00 AM",MSFT,73.0,155.11000061035156,"December 16, 2019 at 12:00:00 AM"
20,MSFT,70,161.33999633789062,"January 10, 2020 at 12:00:00 AM",MSFT,70.0,163.38999938964844,"January 14, 2020 at 12:00:00 AM"
21,MSFT,69,166.5,"January 21, 2020 at 12:00:00 AM",MSFT,69.0,167.83999633789062,"January 29, 2020 at 12:00:00 AM"
22,MSFT,67,172.77999877929688,"January 30, 2020 at 12:00:00 AM",MSFT,67.0,177.13999938964844,"February 04, 2020 at 12:00:00 AM"
23,MSFT,66,179.89999389648438,"February 05, 2020 at 12:00:00 AM",MSFT,66.0,182.85000610351562,"February 07, 2020 at 12:00:00 AM"
24,MSFT,64,188.6999969482422,"February 10, 2020 at 12:00:00 AM",MSFT,64.0,190.64999389648438,"February 11, 2020 at 12:00:00 AM"
25,MSFT,66,184.7100067138672,"February 12, 2020 at 12:00:00 AM",MSFT,66.0,188.05999755859375,"February 19, 2020 at 12:00:00 AM"
26,MSFT,67,184.4199981689453,"February 20, 2020 at 12:00:00 AM",MSFT,67.0,152.41000366210938,"February 28, 2020 at 12:00:00 AM"
27,MSFT,59,172.7899932861328,"March 02, 2020 at 12:00:00 AM",MSFT,59.0,158.16000366210938,"March 10, 2020 at 12:00:00 AM"
28,MSFT,61,153.6300048828125,"March 11, 2020 at 12:00:00 AM",MSFT,61.0,142.77000427246094,"March 19, 2020 at 12:00:00 AM"
29,MSFT,64,137.35000610351562,"March 20, 2020 at 12:00:00 AM",MSFT,64.0,143.75,"March 24, 2020 at 12:00:00 AM"
30,MSFT,62,146.9199981689453,"March 25, 2020 at 12:00:00 AM",MSFT,62.0,148.39999389648438,"March 26, 2020 at 12:00:00 AM"
31,MSFT,62,149.6999969482422,"March 27, 2020 at 12:00:00 AM",MSFT,62.0,152.44000244140625,"March 30, 2020 at 12:00:00 AM"
32,MSFT,60,157.7100067138672,"March 31, 2020 at 12:00:00 AM",MSFT,60.0,160.32000732421875,"April 06, 2020 at 12:00:00 AM"
33,MSFT,58,163.49000549316406,"April 07, 2020 at 12:00:00 AM",MSFT,58.0,165.6699981689453,"April 08, 2020 at 12:00:00 AM"
34,MSFT,59,165.13999938964844,"April 09, 2020 at 12:00:00 AM",MSFT,59.0,169.0,"April 14, 2020 at 12:00:00 AM"
35,MSFT,58,171.8800048828125,"April 15, 2020 at 12:00:00 AM",MSFT,58.0,174.3000030517578,"April 16, 2020 at 12:00:00 AM"
