,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,ABNB,51,195.7949981689453,"March 22, 2021 at 09:33:00 AM",ABNB,51.0,196.24000549316406,"March 22, 2021 at 09:37:00 AM"
1,QCOM,75,133.10000610351562,"March 22, 2021 at 09:37:00 AM",QCOM,75.0,133.2899932861328,"March 22, 2021 at 09:51:00 AM"
2,QCOM,75,133.49000549316406,"March 22, 2021 at 09:52:00 AM",QCOM,75.0,133.6999969482422,"March 22, 2021 at 10:00:00 AM"
3,MSFT,42,233.86000061035156,"March 22, 2021 at 10:00:00 AM",MSFT,42.0,233.86000061035156,"March 22, 2021 at 10:06:00 AM"
4,PEP,73,137.24000549316406,"March 22, 2021 at 10:07:00 AM",PEP,73.0,137.39999389648438,"March 22, 2021 at 10:10:00 AM"
5,AMD,126,79.68000030517578,"March 22, 2021 at 10:10:00 AM",AMD,126.0,79.80000305175781,"March 22, 2021 at 10:28:00 AM"
6,ABNB,50,199.4499969482422,"March 22, 2021 at 10:28:00 AM",ABNB,50.0,199.77999877929688,"March 22, 2021 at 10:29:00 AM"
7,CSCO,203,49.625,"March 22, 2021 at 10:31:00 AM",CSCO,203.0,49.689998626708984,"March 22, 2021 at 10:35:00 AM"
8,TXN,56,178.92010498046875,"March 22, 2021 at 10:39:00 AM",TXN,56.0,179.25,"March 22, 2021 at 10:45:00 AM"
9,INTC,156,64.88999938964844,"March 22, 2021 at 10:45:00 AM",INTC,156.0,64.95500183105469,"March 22, 2021 at 10:48:00 AM"
10,PEP,73,137.8000030517578,"March 22, 2021 at 10:49:00 AM",PEP,73.0,137.9600067138672,"March 22, 2021 at 10:56:00 AM"
11,MCD,45,225.30999755859375,"March 22, 2021 at 10:59:00 AM",MCD,45.0,225.5399932861328,"March 22, 2021 at 11:08:00 AM"
12,JNJ,63,160.17999267578125,"March 22, 2021 at 11:09:00 AM",JNJ,63.0,160.0399932861328,"March 22, 2021 at 12:40:00 PM"
13,JNJ,63,160.02499389648438,"March 22, 2021 at 12:40:00 PM",JNJ,63.0,160.02499389648438,"March 22, 2021 at 12:41:00 PM"
14,MSFT,42,236.50999450683594,"March 22, 2021 at 12:41:00 PM",MSFT,42.0,236.50999450683594,"March 22, 2021 at 12:42:00 PM"
15,CSCO,203,49.95000076293945,"March 22, 2021 at 12:43:00 PM",CSCO,203.0,49.95000076293945,"March 22, 2021 at 12:44:00 PM"
16,MSFT,42,236.7100067138672,"March 22, 2021 at 12:46:00 PM",MSFT,42.0,236.7100067138672,"March 22, 2021 at 12:50:00 PM"
17,INTC,153,66.30500030517578,"March 22, 2021 at 12:51:00 PM",INTC,153.0,66.30500030517578,"March 22, 2021 at 12:52:00 PM"
18,INTC,153,66.32499694824219,"March 22, 2021 at 12:52:00 PM",INTC,153.0,66.32499694824219,"March 22, 2021 at 01:31:00 PM"
19,PEP,73,138.1300048828125,"March 22, 2021 at 01:31:00 PM",PEP,73.0,137.83999633789062,"March 22, 2021 at 03:02:00 PM"
20,AAPL,81,123.79989624023438,"March 22, 2021 at 03:04:00 PM",AAPL,81.0,122.94000244140625,"March 23, 2021 at 10:05:00 AM"
21,AAPL,81,122.88999938964844,"March 23, 2021 at 10:05:00 AM",AAPL,81.0,122.88999938964844,"March 23, 2021 at 10:06:00 AM"
22,MCD,44,225.42999267578125,"March 23, 2021 at 10:06:00 AM",MCD,44.0,225.6999969482422,"March 23, 2021 at 10:11:00 AM"
23,AAPL,81,123.62999725341797,"March 23, 2021 at 10:12:00 AM",AAPL,81.0,123.98999786376953,"March 23, 2021 at 11:08:00 AM"
24,AMD,127,79.2699966430664,"March 23, 2021 at 11:09:00 AM",AMD,127.0,79.2699966430664,"March 23, 2021 at 11:10:00 AM"
25,QCOM,75,133.61000061035156,"March 23, 2021 at 11:10:00 AM",QCOM,75.0,133.75,"March 23, 2021 at 11:20:00 AM"
26,JNJ,63,160.05999755859375,"March 23, 2021 at 11:22:00 AM",JNJ,63.0,160.22999572753906,"March 23, 2021 at 11:32:00 AM"
27,MSFT,42,240.89500427246094,"March 23, 2021 at 11:32:00 AM",MSFT,42.0,239.9499969482422,"March 23, 2021 at 01:03:00 PM"
28,T,334,30.167200088500977,"March 23, 2021 at 01:03:00 PM",T,334.0,30.25,"March 23, 2021 at 01:37:00 PM"
29,PEP,72,139.82000732421875,"March 23, 2021 at 01:38:00 PM",PEP,72.0,139.82000732421875,"March 23, 2021 at 01:53:00 PM"
30,INTC,157,64.08999633789062,"March 23, 2021 at 01:54:00 PM",INTC,157.0,63.209999084472656,"March 23, 2021 at 03:25:00 PM"
31,JNJ,62,159.77999877929688,"March 23, 2021 at 03:29:00 PM",JNJ,62.0,159.9600067138672,"March 23, 2021 at 03:32:00 PM"
32,JNJ,62,159.88999938964844,"March 23, 2021 at 03:32:00 PM",JNJ,62.0,159.88999938964844,"March 23, 2021 at 03:33:00 PM"
33,ABNB,53,186.8699951171875,"March 23, 2021 at 03:33:00 PM",ABNB,53.0,187.10000610351562,"March 23, 2021 at 03:48:00 PM"
34,T,333,29.993900299072266,"March 23, 2021 at 03:52:00 PM",T,333.0,30.03499984741211,"March 23, 2021 at 03:55:00 PM"
35,MSFT,42,237.41000366210938,"March 23, 2021 at 03:55:00 PM",MSFT,42.0,237.74000549316406,"March 23, 2021 at 03:57:00 PM"
36,INTC,157,63.47999954223633,"March 23, 2021 at 03:59:00 PM",INTC,157.0,66.80999755859375,"March 24, 2021 at 09:30:00 AM"
37,TTWO,60,173.2899932861328,"March 24, 2021 at 09:30:00 AM",TTWO,60.0,171.66000366210938,"March 24, 2021 at 11:01:00 AM"
38,INTC,163,63.9900016784668,"March 24, 2021 at 11:01:00 AM",INTC,163.0,63.19499969482422,"March 24, 2021 at 12:32:00 PM"
39,PEP,73,139.55999755859375,"March 24, 2021 at 12:32:00 PM",PEP,73.0,139.70150756835938,"March 24, 2021 at 12:35:00 PM"
40,SNE,100,103.12999725341797,"March 24, 2021 at 12:35:00 PM",SNE,100.0,103.12999725341797,"March 24, 2021 at 12:41:00 PM"
