,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,56.709999084472656,177.0,0.2700004577636719,0.4783849474367281,9.999999999999998,0.09999999999998899,10.0,1.0,0.0,1.0,572.0,2019-01-02,2021-04-09,1d,13546.934999465942,267.0,35.469349994659424,-5.640473957061768,16.294561767578124,3546.9349994659424,53.18352059925093
1,PEP,PEP,107.48999786376953,107.41000366210938,93.0,-0.07999420166015625,-0.0744201351287951,,,,,,,,,,,,,,38.22959749221801,,,
2,MSFT,MSFT,102.80000305175781,101.9000015258789,97.0,-0.9000015258789062,-0.8754878396509121,,,,,,,,,,,,,,,,,
3,INTC,QCOM,55.72999954223633,54.970001220703125,178.0,-0.7599983215332031,-1.3637149251315175,,,,,,,,,,,,,,,,,
4,T,MSFT,105.68000030517578,106.12000274658203,92.0,0.44000244140625,0.4163535580390233,,,,,,,,,,,,,,,,,
5,MCD,MSFT,106.19999694824219,107.23999786376953,92.0,1.0400009155273438,0.9792852593340472,,,,,,,,,,,,,,,,,
6,KO,INTC,46.709999084472656,46.779998779296875,213.0,0.06999969482421875,0.14986019309832968,,,,,,,,,,,,,,,,,
7,AAPL,T,29.3700008392334,29.5,339.0,0.12999916076660156,0.4426256624172256,,,,,,,,,,,,,,,,,
8,AMD,INTC,48.72999954223633,48.619998931884766,205.0,-0.1100006103515625,-0.22573488894909668,,,,,,,,,,,,,,,,,
9,SNE,MCD,177.57000732421875,177.5500030517578,56.0,-0.0200042724609375,-0.011265569429420821,,,,,,,,,,,,,,,,,
10,ABNB,KO,49.41999816894531,49.369998931884766,202.0,-0.049999237060546875,-0.10117207388317052,,,,,,,,,,,,,,,,,
11,,INTC,48.77000045776367,49.36000061035156,204.0,0.5900001525878906,1.209760399938583,,,,,,,,,,,,,,,,,
12,,PEP,114.12000274658203,113.0,88.0,-1.1200027465820312,-0.9814254465706067,,,,,,,,,,,,,,,,,
13,,MSFT,108.22000122070312,107.79000091552734,92.0,-0.43000030517578125,-0.3973390319030228,,,,,,,,,,,,,,,,,
14,,QCOM,52.45000076293945,52.689998626708984,189.0,0.23999786376953125,0.45757456678458414,,,,,,,,,,,,,,,,,
15,,AAPL,43.557498931884766,43.4275016784668,229.0,-0.12999725341796875,-0.29844976549562335,,,,,,,,,,,,,,,,,
16,,AAPL,43.717498779296875,43.58000183105469,228.0,-0.1374969482421875,-0.3145123853867445,,,,,,,,,,,,,,,,,
17,,AAPL,43.74250030517578,43.92250061035156,227.0,0.18000030517578125,0.41149980892720694,,,,,,,,,,,,,,,,,
18,,AAPL,43.88249969482422,43.66749954223633,227.0,-0.21500015258789062,-0.48994508991758534,,,,,,,,,,,,,,,,,
19,,AAPL,43.125,42.58000183105469,230.0,-0.5449981689453125,-1.263763870018116,,,,,,,,,,,,,,,,,
20,,AAPL,44.724998474121094,45.0,219.0,0.27500152587890625,0.6148720743680481,,,,,,,,,,,,,,,,,
21,,AAPL,45.4275016784668,45.974998474121094,217.0,0.5474967956542969,1.2052100058890476,,,,,,,,,,,,,,,,,
22,,AAPL,46.529998779296875,46.45000076293945,214.0,-0.07999801635742188,-0.17192782818858854,,,,,,,,,,,,,,,,,
23,,AAPL,46.63249969482422,46.557498931884766,213.0,-0.07500076293945312,-0.16083367486254982,,,,,,,,,,,,,,,,,
24,,AAPL,48.772499084472656,48.834999084472656,204.0,0.0625,0.128145986310342,,,,,,,,,,,,,,,,,
25,,AAPL,47.185001373291016,47.915000915527344,211.0,0.7299995422363281,1.5471008180356716,,,,,,,,,,,,,,,,,
26,,AAPL,47.11750030517578,47.23749923706055,214.0,0.11999893188476562,0.2546801742612478,,,,,,,,,,,,,,,,,
27,,AAPL,47.48749923706055,47.90999984741211,213.0,0.4225006103515625,0.8897091174298593,,,,,,,,,,,,,,,,,
28,,AAPL,48.505001068115234,48.3125,211.0,-0.19250106811523438,-0.39686849577614985,,,,,,,,,,,,,,,,,
29,,AAPL,48.92250061035156,49.11249923706055,208.0,0.18999862670898438,0.38836654778186536,,,,,,,,,,,,,,,,,
30,,AAPL,50.025001525878906,50.08000183105469,204.0,0.05500030517578125,0.10994563417919842,,,,,,,,,,,,,,,,,
31,,AAPL,50.154998779296875,50.212501525878906,204.0,0.05750274658203125,0.11465008071292666,,,,,,,,,,,,,,,,,
32,,AAPL,49.717498779296875,49.64500045776367,206.0,-0.07249832153320312,-0.14582053263587053,,,,,,,,,,,,,,,,,
33,,AAPL,49.8125,49.8849983215332,205.0,0.07249832153320312,0.14554242716828733,,,,,,,,,,,,,,,,,
34,,AAPL,50.96500015258789,50.70750045776367,201.0,-0.25749969482421875,-0.5052480997807738,,,,,,,,,,,,,,,,,
35,,AAPL,51.869998931884766,51.84000015258789,196.0,-0.029998779296875,-0.05783454774361792,,,,,,,,,,,,,,,,,
36,,AAPL,51.31999969482422,51.224998474121094,198.0,-0.095001220703125,-0.18511539607960317,,,,,,,,,,,,,,,,,
37,,AAPL,51.15250015258789,50.76499938964844,199.0,-0.3875007629394531,-0.7575402214623693,,,,,,,,,,,,,,,,,
