,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,56.2599983215332,177.0,-0.18000030517578125,-0.3189232982911521,15.000000000000002,2.0999999999999908,15.0,1.0,0.0,1.0,572.0,2019-01-02,2021-04-09,1d,15848.834413528442,187.0,58.48834413528442,25.5474444770813,30.13490659713745,5848.834413528442,33.155080213903744
1,SNE,SNE,49.099998474121094,48.880001068115234,203.0,-0.21999740600585938,-0.4480599039566414,,,,,,,,,,,,,,34.7223687171936,,,
2,KO,KO,47.150001525878906,46.88999938964844,210.0,-0.26000213623046875,-0.5514361141383275,,,,,,,,,,,,,,,,,
3,TTWO,TTWO,105.93000030517578,105.13999938964844,93.0,-0.7900009155273438,-0.7457763742579202,,,,,,,,,,,,,,,,,
4,MSFT,MSFT,105.68000030517578,104.87999725341797,92.0,-0.8000030517578125,-0.7570051565552763,,,,,,,,,,,,,,,,,
5,T,T,29.3700008392334,30.209999084472656,331.0,0.8399982452392578,2.860055230632343,,,,,,,,,,,,,,,,,
6,TMUS,TMUS,69.41000366210938,66.80000305175781,144.0,-2.6100006103515625,-3.7602657724341118,,,,,,,,,,,,,,,,,
7,INTC,KO,49.41999816894531,49.369998931884766,194.0,-0.049999237060546875,-0.10117207388317052,,,,,,,,,,,,,,,,,
8,JNJ,INTC,48.77000045776367,50.130001068115234,197.0,1.3600006103515625,2.7886007742184975,,,,,,,,,,,,,,,,,
9,AAPL,JNJ,134.30999755859375,137.22000122070312,73.0,2.910003662109375,2.1666322053500626,,,,,,,,,,,,,,,,,
10,CSCO,AAPL,43.962501525878906,43.66749954223633,229.0,-0.2950019836425781,-0.6710309318247567,,,,,,,,,,,,,,,,,
11,AMD,CSCO,51.290000915527344,50.720001220703125,195.0,-0.5699996948242188,-1.1113271293618932,,,,,,,,,,,,,,,,,
12,MCD,QCOM,54.349998474121094,55.529998779296875,182.0,1.1800003051757812,2.171113777928884,,,,,,,,,,,,,,,,,
13,ABNB,AAPL,46.529998779296875,46.45000076293945,217.0,-0.07999801635742188,-0.17192782818858854,,,,,,,,,,,,,,,,,
14,PEP,AAPL,46.63249969482422,46.557498931884766,216.0,-0.07500076293945312,-0.16083367486254982,,,,,,,,,,,,,,,,,
15,,AAPL,48.772499084472656,47.877498626708984,207.0,-0.8950004577636719,-1.835051462533333,,,,,,,,,,,,,,,,,
16,,AAPL,46.6974983215332,47.90999984741211,212.0,1.2125015258789062,2.5965021028113537,,,,,,,,,,,,,,,,,
17,,AAPL,48.505001068115234,48.3125,209.0,-0.19250106811523438,-0.39686849577614985,,,,,,,,,,,,,,,,,
18,,AAPL,48.92250061035156,50.08000183105469,207.0,1.157501220703125,2.3659894859466934,,,,,,,,,,,,,,,,,
19,,AAPL,50.154998779296875,49.79999923706055,206.0,-0.3549995422363281,-0.7078049065427668,,,,,,,,,,,,,,,,,
20,,AAPL,49.807498931884766,51.10749816894531,206.0,1.2999992370605469,2.6100472116425415,,,,,,,,,,,,,,,,,
21,,AAPL,51.790000915527344,51.70750045776367,203.0,-0.08250045776367188,-0.1592980426824768,,,,,,,,,,,,,,,,,
22,,AAPL,51.07500076293945,50.76499938964844,206.0,-0.3100013732910156,-0.6069532426046595,,,,,,,,,,,,,,,,,
23,,AAPL,52.630001068115234,52.459999084472656,199.0,-0.17000198364257812,-0.3230134527691853,,,,,,,,,,,,,,,,,
24,,AAPL,52.9375,51.0724983215332,197.0,-1.8650016784667969,-3.523025602770809,,,,,,,,,,,,,,,,,
25,,AAPL,50.71500015258789,50.474998474121094,198.0,-0.24000167846679688,-0.473236079551801,,,,,,,,,,,,,,,,,
26,,AAPL,50.18000030517578,49.35499954223633,199.0,-0.8250007629394531,-1.6440828177004991,,,,,,,,,,,,,,,,,
