,,,,,,,,Death Cross Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,TXN,TXN,30.719999313354492,31.559999465942383,325.0,0.8400001525878906,2.7343755578234297,0.0,0.49999999999998934,45.0,652.0,2006-06-01,2008-12-31,1d,10164.554481267929,88.0,1.6455448126792906,0.0,11.904251211484272,164.55448126792908,92.04545454545455
1,MSFT,TXN,29.68000030517578,29.8700008392334,346.0,0.1900005340576172,0.6401635178705969,,,,,,,,,,,-0.3107567548751831,,,
2,TTWO,MSFT,22.100000381469727,22.540000915527344,467.0,0.4400005340576172,1.9909526084286686,,,,,,,,,,,36.023510389328,,,
3,QCOM,TTWO,13.15999984741211,12.670000076293945,801.0,-0.48999977111816406,-3.723402559267671,,,,,,,,,,,,,,
4,JNJ,QCOM,37.27000045776367,37.650001525878906,272.0,0.3800010681152344,1.0195896523958234,,,,,,,,,,,,,,
5,PEP,QCOM,37.90999984741211,38.20000076293945,270.0,0.29000091552734375,0.7649720830772844,,,,,,,,,,,,,,
6,AMD,JNJ,64.66000366210938,65.0,159.0,0.339996337890625,0.5258217114668401,,,,,,,,,,,,,,
7,INTC,JNJ,65.08999633789062,65.54000091552734,159.0,0.45000457763671875,0.6913575095329343,,,,,,,,,,,,,,
8,MCD,TTWO,14.40999984741211,14.5,725.0,0.09000015258789062,0.6245673389375763,,,,,,,,,,,,,,
9,SNE,PEP,64.41999816894531,62.86000061035156,163.0,-1.55999755859375,-2.421604475216784,,,,,,,,,,,,,,
10,AAPL,PEP,62.849998474121094,63.31999969482422,163.0,0.470001220703125,0.7478142117961246,,,,,,,,,,,,,,
11,KO,AMD,21.850000381469727,21.969999313354492,473.0,0.11999893188476562,0.5491941866808058,,,,,,,,,,,,,,
12,,AMD,20.950000762939453,14.6899995803833,496.0,-6.260001182556152,-29.88067281424683,,,,,,,,,,,,,,
13,,TXN,30.760000228881836,31.600000381469727,237.0,0.8400001525878906,2.73081972151346,,,,,,,,,,,,,,
14,,INTC,19.1200008392334,19.280000686645508,392.0,0.15999984741210938,0.8368192488977131,,,,,,,,,,,,,,
