,,,,,,,,Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,MSFT,MSFT,26.860000610351562,27.010000228881836,3723.0,0.14999961853027344,0.5584497956878868,0.0,0.49999999999998934,45.0,755.0,2006-01-03,2008-12-31,1d,107866.61986517906,110.0,7.866619865179062,0.0,13.751889383474987,7866.619865179062,90.0
1,PEP,PEP,58.70000076293945,59.470001220703125,1713.0,0.7700004577636719,1.3117554476248245,,,,,,,,,,,8.661689363479615,,,
2,INTC,INTC,20.360000610351562,20.469999313354492,5003.0,0.10999870300292969,0.5402686626001545,,,,,,,,,,,32.59397878694534,,,
3,QCOM,QCOM,48.349998474121094,49.560001373291016,2118.0,1.2100028991699219,2.5025913906027633,,,,,,,,,,,,,,
4,TXN,TXN,30.81999969482422,31.219999313354492,3406.0,0.39999961853027344,1.2978573085367282,,,,,,,,,,,,,,
5,AMD,TXN,31.280000686645508,32.869998931884766,3400.0,1.5899982452392578,5.083114483172253,,,,,,,,,,,,,,
6,TTWO,AMD,33.59000015258789,34.779998779296875,3327.0,1.1899986267089844,3.5427169434451544,,,,,,,,,,,,,,
7,KO,PEP,58.02000045776367,58.02000045776367,1994.0,0.0,0.0,,,,,,,,,,,,,,
8,JNJ,QCOM,51.84000015258789,52.45000076293945,2232.0,0.6100006103515625,1.1766987047763557,,,,,,,,,,,,,,
9,SNE,PEP,57.5,57.81999969482422,2036.0,0.31999969482421875,0.5565212083899457,,,,,,,,,,,,,,
10,AAPL,TTWO,17.600000381469727,17.600000381469727,6689.0,0.0,0.0,,,,,,,,,,,,,,
11,MCD,KO,21.024999618530273,21.135000228881836,5599.0,0.1100006103515625,0.5231895949934479,,,,,,,,,,,,,,
12,,KO,21.354999542236328,21.59000015258789,5541.0,0.2350006103515625,1.1004477423976236,,,,,,,,,,,,,,
13,,JNJ,58.36000061035156,58.65999984741211,2050.0,0.2999992370605469,0.5140494069962959,,,,,,,,,,,,,,
14,,KO,21.690000534057617,22.06999969482422,5544.0,0.37999916076660156,1.7519555159527418,,,,,,,,,,,,,,
