,,,,,,,,Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,TXN,TXN,26.34000015,26.34000015,3796,0,0,0,0.5,45,2827,1/4/2010,3/26/2021,1d,1324509.359,390,1224.509359,0,260.3027559,1224509.359,92.05128205
1,AMD,AMD,9.140000343,9.470000267,10940,0.329999924,3.610502312,,,,,,,,,,,37.96243353,,,
2,AAPL,AAPL,8.004285812,8.058570862,12944,0.054285049,0.678199788,,,,,,,,,,,66.83965119,,,
3,MSFT,AAPL,8.155714035,8.247142792,12790,0.091428757,1.121039265,,,,,,,,,,,125.4644355,,,
4,QCOM,AAPL,8.094642639,8.176786423,13031,0.082143784,1.014791971,,,,,,,,,,,83.31962052,,,
5,JNJ,AAPL,8.246429443,8.321429253,12921,0.074999809,0.909482216,,,,,,,,,,,125.110023,,,
6,PEP,AAPL,8.299642563,8.449999809,12954,0.150357246,1.811611106,,,,,,,,,,,80.14008341,,,
7,TTWO,MSFT,29.77000046,29.95000076,3677,0.180000305,0.604636555,,,,,,,,,,,165.1772183,,,
8,KO,AMD,9.300000191,9.369999886,11842,0.069999695,0.752684875,,,,,,,,,,,266.8493287,,,
9,,AAPL,8.653214455,8.760000229,12823,0.106785774,1.234059028,,,,,,,,,,,336.5412612,,,
10,,AAPL,8.774642944,8.87749958,12801,0.102856636,1.172203094,,,,,,,,,,,648.747656,,,
11,,QCOM,42.74000168,42.74000168,2659,0,0,,,,,,,,,,,1187.481359,,,
12,,AAPL,8.735357285,9.242856979,13009,0.507499695,5.809718805,,,,,,,,,,,,,,
13,,QCOM,42.63000107,34.70000076,2820,-7.930000305,-18.60192378,,,,,,,,,,,,,,
14,,MSFT,24.53000069,25.13999939,3990,0.609998703,2.48674556,,,,,,,,,,,,,,
15,,AAPL,8.992856979,9.042142868,11155,0.049285889,0.54805596,,,,,,,,,,,,,,
16,,AAPL,8.925000191,9.467499733,11301,0.542499542,6.078426114,,,,,,,,,,,,,,
17,,AAPL,9.079999924,9.202857018,11784,0.122857094,1.353051705,,,,,,,,,,,,,,
