,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,53.0,177.0,-3.4399986267089844,-6.09496582283948,0.0,5.099999999999993,35.0,1.0,0.0,1.0,570.0,2019-01-02,2021-04-07,1d,39078.87558364868,30.0,290.7887558364868,115.35793178558349,219.82521697998047,29078.87558364868,80.0
1,AAPL,AAPL,43.287498474121094,45.5625,216.0,2.2750015258789062,5.255562474322669,,,,,,,,,,,,,,324.29250217437743,,,
2,KO,QCOM,55.38999938964844,78.81999969482422,178.0,23.43000030517578,42.30005517847054,,,,,,,,,,,,,,,,,
3,MSFT,AAPL,50.782501220703125,47.95249938964844,276.0,-2.8300018310546875,-5.572789372377243,,,,,,,,,,,,,,,,,
4,,AAPL,48.14500045776367,50.79249954223633,275.0,2.6474990844726562,5.499011443140886,,,,,,,,,,,,,,,,,
5,,AAPL,50.38750076293945,54.10499954223633,277.0,3.717498779296875,7.377819346085001,,,,,,,,,,,,,,,,,
6,,AAPL,53.2599983215332,56.20000076293945,282.0,2.94000244140625,5.520094881823526,,,,,,,,,,,,,,,,,
7,,AAPL,55.772499084472656,58.724998474121094,284.0,2.9524993896484375,5.293826595750356,,,,,,,,,,,,,,,,,
8,,QCOM,76.30000305175781,80.55000305175781,218.0,4.25,5.570117732652028,,,,,,,,,,,,,,,,,
9,,QCOM,83.05000305175781,89.83000183105469,212.0,6.779998779296875,8.163755003201498,,,,,,,,,,,,,,,,,
10,,AAPL,64.85749816894531,69.25,293.0,4.3925018310546875,6.772542813188374,,,,,,,,,,,,,,,,,
11,,AAPL,69.96499633789062,74.05999755859375,290.0,4.095001220703125,5.852928514319687,,,,,,,,,,,,,,,,,
12,,AAPL,75.0875015258789,79.17500305175781,286.0,4.087501525878906,5.44365099758999,,,,,,,,,,,,,,,,,
13,,AAPL,78.16999816894531,70.5,290.0,-7.6699981689453125,-9.811946205203292,,,,,,,,,,,,,,,,,
14,,KO,51.86000061035156,47.27000045776367,394.0,-4.590000152587891,-8.850752214745828,,,,,,,,,,,,,,,,,
15,,AAPL,71.93250274658203,75.80500030517578,259.0,3.87249755859375,5.383515671957843,,,,,,,,,,,,,,,,,
16,,QCOM,78.83000183105469,84.94999694824219,249.0,6.1199951171875,7.7635354243726,,,,,,,,,,,,,,,,,
17,,AAPL,81.27999877929688,86.9749984741211,260.0,5.694999694824219,7.006643430554299,,,,,,,,,,,,,,,,,
18,,AAPL,88.20999908447266,93.85250091552734,257.0,5.6425018310546875,6.396669186733865,,,,,,,,,,,,,,,,,
19,,QCOM,92.13999938964844,102.41999816894531,261.0,10.279998779296875,11.156933847833075,,,,,,,,,,,,,,,,,
20,,QCOM,107.19000244140625,116.19999694824219,250.0,9.009994506835938,8.405629537849027,,,,,,,,,,,,,,,,,
21,,AAPL,115.01000213623047,128.69749450683594,252.0,13.687492370605469,11.901132176654079,,,,,,,,,,,,,,,,,
22,,MSFT,213.69000244140625,228.17999267578125,152.0,14.489990234375,6.780846117659693,,,,,,,,,,,,,,,,,
23,,AAPL,124.80750274658203,132.75999450683594,278.0,7.952491760253906,6.371805849205401,,,,,,,,,,,,,,,,,
24,,AAPL,134.17999267578125,117.44999694824219,275.0,-16.729995727539062,-12.468323625537606,,,,,,,,,,,,,,,,,
25,,QCOM,128.3800048828125,145.82000732421875,251.0,17.44000244140625,13.584671894447883,,,,,,,,,,,,,,,,,
26,,AAPL,119.02999877929688,127.41000366210938,308.0,8.3800048828125,7.04024613017979,,,,,,,,,,,,,,,,,
27,,AAPL,127.80999755859375,138.0500030517578,307.0,10.240005493164062,8.011897104113151,,,,,,,,,,,,,,,,,
28,,AAPL,134.8699951171875,143.07000732421875,314.0,8.20001220703125,6.079938091423761,,,,,,,,,,,,,,,,,
29,,AAPL,142.9199981689453,124.05000305175781,314.0,-18.8699951171875,-13.203187348828072,,,,,,,,,,,,,,,,,
30,,AAPL,124.76000213623047,,,,,,,,,,,,,,,,,,,,,
