,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,56.2599983215332,177.0,-0.18000030517578125,-0.3189232982911521,9.999999999999998,6.099999999999994,30.0,1.0,0.0,1.0,562.0,2019-01-02,2021-03-25,1d,22768.834804534912,148.0,127.68834804534912,34.79399360656738,73.21402147293091,12768.834804534912,22.972972972972975
1,PEP,PEP,107.48999786376953,107.41000366210938,92.0,-0.07999420166015625,-0.0744201351287951,,,,,,,,,,,,,,111.63404933929444,,,
2,SNE,SNE,49.099998474121094,48.880001068115234,202.0,-0.21999740600585938,-0.4480599039566414,,,,,,,,,,,,,,,,,
3,MSFT,MSFT,102.80000305175781,101.9000015258789,96.0,-0.9000015258789062,-0.8754878396509121,,,,,,,,,,,,,,,,,
4,KO,KO,47.150001525878906,46.88999938964844,208.0,-0.26000213623046875,-0.5514361141383275,,,,,,,,,,,,,,,,,
5,AAPL,QCOM,55.72999954223633,54.970001220703125,175.0,-0.7599983215332031,-1.3637149251315175,,,,,,,,,,,,,,,,,
6,TMUS,MSFT,105.68000030517578,104.87999725341797,91.0,-0.8000030517578125,-0.7570051565552763,,,,,,,,,,,,,,,,,
7,AMD,AAPL,38.66999816894531,41.52750015258789,247.0,2.857501983642578,7.3894546649794,,,,,,,,,,,,,,,,,
8,MCD,AAPL,41.61000061035156,45.0,246.0,3.3899993896484375,8.147078442496076,,,,,,,,,,,,,,,,,
9,ABNB,QCOM,54.84000015258789,58.20000076293945,202.0,3.3600006103515625,6.126915756751697,,,,,,,,,,,,,,,,,
10,,AAPL,48.837501525878906,48.6974983215332,241.0,-0.14000320434570312,-0.2866715126110939,,,,,,,,,,,,,,,,,
11,,AAPL,48.92250061035156,52.470001220703125,240.0,3.5475006103515625,7.251265912603297,,,,,,,,,,,,,,,,,
12,,AAPL,52.630001068115234,52.459999084472656,239.0,-0.17000198364257812,-0.3230134527691853,,,,,,,,,,,,,,,,,
13,,AAPL,52.287498474121094,51.0724983215332,240.0,-1.2150001525878906,-2.3236914904032684,,,,,,,,,,,,,,,,,
14,,AAPL,52.119998931884766,51.470001220703125,235.0,-0.6499977111816406,-1.247117660211616,,,,,,,,,,,,,,,,,
15,,AAPL,50.71500015258789,50.474998474121094,239.0,-0.24000167846679688,-0.473236079551801,,,,,,,,,,,,,,,,,
16,,AAPL,50.724998474121094,50.099998474121094,237.0,-0.625,-1.2321340932496287,,,,,,,,,,,,,,,,,
17,,AAPL,50.18000030517578,49.35499954223633,237.0,-0.8250007629394531,-1.6440828177004991,,,,,,,,,,,,,,,,,
18,,AAPL,49.29499816894531,46.9275016784668,237.0,-2.3674964904785156,-4.802711387399914,,,,,,,,,,,,,,,,,
19,,QCOM,83.88999938964844,83.79000091552734,133.0,-0.09999847412109375,-0.11920190111889906,,,,,,,,,,,,,,,,,
20,,MSFT,128.92999267578125,128.30999755859375,86.0,-0.6199951171875,-0.4808773384068938,,,,,,,,,,,,,,,,,
21,,MSFT,128.07000732421875,126.5199966430664,86.0,-1.5500106811523438,-1.2102839013886963,,,,,,,,,,,,,,,,,
22,,QCOM,76.62000274658203,69.12999725341797,143.0,-7.4900054931640625,-9.77552235013224,,,,,,,,,,,,,,,,,
23,,QCOM,69.30999755859375,67.0199966430664,142.0,-2.2900009155273438,-3.3039979745943686,,,,,,,,,,,,,,,,,
24,,MSFT,126.18000030517578,125.37999725341797,75.0,-0.8000030517578125,-0.6340173163916193,,,,,,,,,,,,,,,,,
25,,QCOM,65.76000213623047,71.58000183105469,144.0,5.819999694824219,8.850364211922205,,,,,,,,,,,,,,,,,
26,,AAPL,48.70249938964844,48.48749923706055,212.0,-0.21500015258789062,-0.4414560962626658,,,,,,,,,,,,,,,,,
27,,AAPL,48.54750061035156,47.88750076293945,212.0,-0.6599998474121094,-1.3594929483792635,,,,,,,,,,,,,,,,,
28,,AAPL,48.185001373291016,51.147499084472656,210.0,2.9624977111816406,6.148173968557269,,,,,,,,,,,,,,,,,
29,,AAPL,51.125,51.01250076293945,210.0,-0.11249923706054688,-0.2200474074533924,,,,,,,,,,,,,,,,,
30,,AAPL,50.837501525878906,54.10499954223633,211.0,3.267498016357422,6.42733792630249,,,,,,,,,,,,,,,,,
31,,AAPL,53.2599983215332,51.38249969482422,214.0,-1.8774986267089844,-3.5251571270701767,,,,,,,,,,,,,,,,,
32,,AAPL,51.005001068115234,49.497501373291016,216.0,-1.5074996948242188,-2.9555919287424586,,,,,,,,,,,,,,,,,
33,,QCOM,68.80000305175781,67.26000213623047,155.0,-1.5400009155273438,-2.238373324444202,,,,,,,,,,,,,,,,,
34,,AAPL,49.7599983215332,53.247501373291016,210.0,3.4875030517578125,7.008647848463906,,,,,,,,,,,,,,,,,
35,,AAPL,53.15999984741211,52.35749816894531,210.0,-0.8025016784667969,-1.509596841178064,,,,,,,,,,,,,,,,,
36,,AAPL,50.65999984741211,54.51750183105469,217.0,3.857501983642578,7.614492687053636,,,,,,,,,,,,,,,,,
37,,AAPL,55.897499084472656,55.0,212.0,-0.8974990844726562,-1.6056158131803893,,,,,,,,,,,,,,,,,
38,,AAPL,54.6875,54.432498931884766,213.0,-0.2550010681152344,-0.4662876674107143,,,,,,,,,,,,,,,,,
39,,AAPL,54.974998474121094,54.73749923706055,211.0,-0.23749923706054688,-0.43201317626656627,,,,,,,,,,,,,,,,,
40,,MSFT,139.13999938964844,137.5,83.0,-1.6399993896484375,-1.1786685330188724,,,,,,,,,,,,,,,,,
41,,QCOM,77.26000213623047,77.16000366210938,148.0,-0.09999847412109375,-0.12943110452517093,,,,,,,,,,,,,,,,,
42,,MSFT,139.5399932861328,138.0500030517578,81.0,-1.489990234375,-1.0677872338145453,,,,,,,,,,,,,,,,,
43,,QCOM,76.27999877929688,75.26000213623047,148.0,-1.0199966430664062,-1.3371744354868071,,,,,,,,,,,,,,,,,
44,,MSFT,134.64999389648438,144.39999389648438,82.0,9.75,7.24099550089513,,,,,,,,,,,,,,,,,
45,,QCOM,83.05000305175781,82.75,144.0,-0.3000030517578125,-0.3612318371269015,,,,,,,,,,,,,,,,,
46,,QCOM,81.66000366210938,81.44000244140625,145.0,-0.220001220703125,-0.2694112305130922,,,,,,,,,,,,,,,,,
47,,QCOM,80.44000244140625,89.83000183105469,147.0,9.389999389648438,11.673295754171885,,,,,,,,,,,,,,,,,
48,,AAPL,64.85749816894531,64.67250061035156,204.0,-0.18499755859375,-0.28523696383085195,,,,,,,,,,,,,,,,,
49,,QCOM,94.02999877929688,91.70999908447266,140.0,-2.3199996948242188,-2.4672973784351746,,,,,,,,,,,,,,,,,
50,,QCOM,91.83999633789062,90.69999694824219,140.0,-1.1399993896484375,-1.2412885835211054,,,,,,,,,,,,,,,,,
51,,AAPL,66.11750030517578,65.9375,192.0,-0.18000030517578125,-0.2722430587135953,,,,,,,,,,,,,,,,,
52,,AAPL,65.66000366210938,65.64749908447266,193.0,-0.01250457763671875,-0.019044436398554156,,,,,,,,,,,,,,,,,
53,,MSFT,149.58999633789062,147.49000549316406,84.0,-2.0999908447265625,-1.4038310690128963,,,,,,,,,,,,,,,,,
54,,QCOM,80.58000183105469,86.83999633789062,155.0,6.2599945068359375,7.768670097527103,,,,,,,,,,,,,,,,,
55,,MSFT,153.24000549316406,153.0,88.0,-0.2400054931640625,-0.15662065032669878,,,,,,,,,,,,,,,,,
56,,QCOM,87.83000183105469,87.26000213623047,153.0,-0.5699996948242188,-0.6489806250040175,,,,,,,,,,,,,,,,,
57,,AAPL,74.35749816894531,73.44750213623047,180.0,-0.9099960327148438,-1.2238120635087408,,,,,,,,,,,,,,,,,
58,,AAPL,74.94999694824219,74.29000091552734,176.0,-0.6599960327148438,-0.880581800651191,,,,,,,,,,,,,,,,,
59,,AAPL,75.79750061035156,81.11250305175781,172.0,5.31500244140625,7.0121077853593325,,,,,,,,,,,,,,,,,
