,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,53.0,177.0,-3.4399986267089844,-6.09496582283948,0.0,2.0999999999999908,35.0,1.0,0.0,1.0,570.0,2019-01-02,2021-04-07,1d,29034.67427444458,58.0,190.3467427444458,65.61816951751709,140.41298622131347,19034.67427444458,91.37931034482759
1,AAPL,AAPL,43.287498474121094,45.0,216.0,1.7125015258789062,3.9561110857507846,,,,,,,,,,,,,,215.2078029251099,,,
2,MSFT,QCOM,54.84000015258789,56.619998931884766,177.0,1.779998779296875,3.245803746068876,,,,,,,,,,,,,,,,,
3,,AAPL,47.005001068115234,48.834999084472656,214.0,1.8299980163574219,3.893198542226519,,,,,,,,,,,,,,,,,
4,,AAPL,47.76250076293945,49.11249923706055,219.0,1.3499984741210938,2.8264819734242295,,,,,,,,,,,,,,,,,
5,,AAPL,49.25,50.779998779296875,218.0,1.529998779296875,3.1065965061865484,,,,,,,,,,,,,,,,,
6,,AAPL,50.96500015258789,52.470001220703125,217.0,1.5050010681152344,2.953009052505249,,,,,,,,,,,,,,,,,
7,,AAPL,52.630001068115234,49.70000076293945,217.0,-2.9300003051757812,-5.56716748187729,,,,,,,,,,,,,,,,,
8,,AAPL,49.69499969482422,50.79249954223633,217.0,1.0974998474121094,2.2084713837444996,,,,,,,,,,,,,,,,,
9,,AAPL,50.38750076293945,51.4474983215332,218.0,1.05999755859375,2.103691476147572,,,,,,,,,,,,,,,,,
10,,AAPL,50.647499084472656,52.1150016784668,222.0,1.4675025939941406,2.8974828382869604,,,,,,,,,,,,,,,,,
