,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,52.91999816894531,177.0,-3.520000457763672,-6.236712514904118,0.0,2.0999999999999908,10.0,1.0,0.0,1.0,570.0,2019-01-02,2021-04-07,1d,29857.181159973145,87.0,198.57181159973146,58.9897717666626,133.23901292800903,19857.181159973145,80.45977011494253
1,PEP,PEP,110.7300033569336,113.41000366210938,84.0,2.6800003051757812,2.4203018368354154,,,,,,,,,,,,,,207.48825408935545,,,
2,AAPL,AAPL,43.560001373291016,42.89500045776367,220.0,-0.6650009155273438,-1.5266319893531768,,,,,,,,,,,,,,,,,
3,MSFT,AAPL,43.24250030517578,43.872501373291016,218.0,0.6300010681152344,1.4569025002465648,,,,,,,,,,,,,,,,,
4,AMD,QCOM,54.349998474121094,55.529998779296875,176.0,1.1800003051757812,2.171113777928884,,,,,,,,,,,,,,,,,
5,,QCOM,55.400001525878906,56.619998931884766,176.0,1.2199974060058594,2.2021613220280583,,,,,,,,,,,,,,,,,
6,,AAPL,47.005001068115234,48.834999084472656,213.0,1.8299980163574219,3.893198542226519,,,,,,,,,,,,,,,,,
7,,AAPL,47.76250076293945,49.11249923706055,217.0,1.3499984741210938,2.8264819734242295,,,,,,,,,,,,,,,,,
8,,AAPL,49.25,50.779998779296875,217.0,1.529998779296875,3.1065965061865484,,,,,,,,,,,,,,,,,
9,,AAPL,50.96500015258789,52.470001220703125,216.0,1.5050010681152344,2.953009052505249,,,,,,,,,,,,,,,,,
10,,AAPL,52.630001068115234,47.477500915527344,215.0,-5.152500152587891,-9.790043792549765,,,,,,,,,,,,,,,,,
