,,,,,,,,Shooting Star. Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Shooting Star,Death Cross,Golden Cross,Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
0,QCOM,QCOM,56.439998626708984,56.709999084472656,177.0,0.2700004577636719,0.4783849474367281,0.10000000000000009,0.29999999999998916,30.0,1.0,0.0,1.0,562.0,2019-01-02,2021-03-25,1d,30671.955585479736,137.0,206.71955585479736,67.64778808593749,150.24207132339478,20671.955585479736,85.40145985401459
1,PEP,PEP,107.48999786376953,107.41000366210938,93.0,-0.07999420166015625,-0.0744201351287951,,,,,,,,,,,,,,232.83635456085204,,,
2,SNE,SNE,49.099998474121094,49.63999938964844,204.0,0.5400009155273438,1.0997982328084175,,,,,,,,,,,,,,,,,
3,AAPL,QCOM,55.72999954223633,54.0,182.0,-1.7299995422363281,-3.1042518507921506,,,,,,,,,,,,,,,,,
4,MSFT,AAPL,43.74250030517578,43.92250061035156,224.0,0.18000030517578125,0.41149980892720694,,,,,,,,,,,,,,,,,
5,,AAPL,43.962501525878906,45.0,224.0,1.0374984741210938,2.3599623272355448,,,,,,,,,,,,,,,,,
6,,QCOM,54.84000015258789,55.029998779296875,184.0,0.18999862670898438,0.3464599310363393,,,,,,,,,,,,,,,,,
7,,QCOM,55.38999938964844,56.619998931884766,183.0,1.2299995422363281,2.220616638003063,,,,,,,,,,,,,,,,,
8,,AAPL,47.005001068115234,47.505001068115234,220.0,0.5,1.0637166017195638,,,,,,,,,,,,,,,,,
9,,AAPL,48.772499084472656,49.11249923706055,214.0,0.3400001525878906,0.6971144783846723,,,,,,,,,,,,,,,,,
10,,AAPL,49.25,50.08000183105469,214.0,0.8300018310546875,1.685282905694797,,,,,,,,,,,,,,,,,
11,,AAPL,49.875,50.212501525878906,215.0,0.33750152587890625,0.6766947887296366,,,,,,,,,,,,,,,,,
12,,AAPL,49.73749923706055,50.779998779296875,217.0,1.0424995422363281,2.096003132902866,,,,,,,,,,,,,,,,,
13,,AAPL,50.96500015258789,51.84000015258789,216.0,0.875,1.7168645097228936,,,,,,,,,,,,,,,,,
14,,AAPL,51.790000915527344,52.470001220703125,216.0,0.6800003051757812,1.312995352683819,,,,,,,,,,,,,,,,,
15,,AAPL,52.630001068115234,47.88750076293945,215.0,-4.742500305175781,-9.01102072758445,,,,,,,,,,,,,,,,,
16,,AAPL,48.185001373291016,49.01250076293945,214.0,0.8274993896484375,1.7173381053530925,,,,,,,,,,,,,,,,,
17,,AAPL,49.61249923706055,49.91999816894531,212.0,0.3074989318847656,0.619801333562055,,,,,,,,,,,,,,,,,
18,,AAPL,49.467498779296875,50.092498779296875,214.0,0.625,1.263455835494102,,,,,,,,,,,,,,,,,
19,,AAPL,49.8650016784668,50.0724983215332,214.0,0.20749664306640625,0.41611678749027203,,,,,,,,,,,,,,,,,
20,,AAPL,49.935001373291016,50.79249954223633,215.0,0.8574981689453125,1.7172286880199565,,,,,,,,,,,,,,,,,
21,,AAPL,50.38750076293945,50.352500915527344,217.0,-0.034999847412109375,-0.06946136816107405,,,,,,,,,,,,,,,,,
22,,AAPL,50.682498931884766,50.837501525878906,215.0,0.15500259399414062,0.3058306067395332,,,,,,,,,,,,,,,,,
